datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 06:00:00+00:00,2020-01-01 00:00:00-06:00,834.0,0.0154,0.00154,834.99,0.322,0.0043,823.68,0.0152,0.00153,824.66,0.315,0.0042
2020-01-01 07:00:00+00:00,2020-01-01 01:00:00-06:00,836.15,0.0155,0.00154,837.13,0.322,0.0043,825.83,0.0153,0.00153,826.8,0.316,0.0042
2020-01-01 08:00:00+00:00,2020-01-01 02:00:00-06:00,835.65,0.0155,0.00154,836.63,0.321,0.0043,825.32,0.0153,0.00153,826.3,0.315,0.0042
2020-01-01 09:00:00+00:00,2020-01-01 03:00:00-06:00,839.41,0.0155,0.00155,840.4,0.324,0.0043,828.96,0.0153,0.00153,829.94,0.318,0.0042
2020-01-01 10:00:00+00:00,2020-01-01 04:00:00-06:00,838.82,0.0155,0.00155,839.81,0.324,0.0043,828.4,0.0153,0.00153,829.38,0.317,0.0042
2020-01-01 11:00:00+00:00,2020-01-01 05:00:00-06:00,837.53,0.0155,0.00155,838.52,0.322,0.0043,827.19,0.0153,0.00153,828.17,0.315,0.0042
2020-01-01 12:00:00+00:00,2020-01-01 06:00:00-06:00,839.72,0.0157,0.00158,840.72,0.333,0.0049,828.78,0.0155,0.00156,829.77,0.326,0.0048
2020-01-01 13:00:00+00:00,2020-01-01 07:00:00-06:00,845.53,0.0175,0.00187,846.68,0.341,0.011,832.13,0.0173,0.00186,833.27,0.335,0.0109
2020-01-01 14:00:00+00:00,2020-01-01 08:00:00-06:00,843.38,0.0167,0.00173,844.46,0.326,0.008,831.1,0.0165,0.00172,832.17,0.319,0.0079
2020-01-01 15:00:00+00:00,2020-01-01 09:00:00-06:00,863.46,0.0194,0.00215,864.76,0.356,0.0164,846.73,0.0191,0.00213,848.01,0.349,0.0162
2020-01-01 16:00:00+00:00,2020-01-01 10:00:00-06:00,871.14,0.0161,0.00161,872.17,0.358,0.0045,858.52,0.0159,0.00159,859.54,0.35,0.0044
2020-01-01 17:00:00+00:00,2020-01-01 11:00:00-06:00,867.84,0.0161,0.0016,868.87,0.353,0.0045,855.52,0.0158,0.00159,856.53,0.345,0.0044
2020-01-01 18:00:00+00:00,2020-01-01 12:00:00-06:00,867.14,0.0161,0.0016,868.16,0.375,0.0044,853.02,0.0158,0.00158,854.02,0.367,0.0043
2020-01-01 19:00:00+00:00,2020-01-01 13:00:00-06:00,843.27,0.0186,0.00204,844.52,0.372,0.0147,823.91,0.0183,0.00202,825.13,0.363,0.0146
2020-01-01 20:00:00+00:00,2020-01-01 14:00:00-06:00,858.86,0.0205,0.00234,860.25,0.396,0.0204,836.41,0.0202,0.00232,837.78,0.387,0.0202
2020-01-01 21:00:00+00:00,2020-01-01 15:00:00-06:00,870.78,0.018,0.00193,871.97,0.407,0.0111,850.92,0.0177,0.0019,852.09,0.397,0.0109
2020-01-01 22:00:00+00:00,2020-01-01 16:00:00-06:00,860.81,0.0159,0.00159,861.83,0.393,0.0044,843.87,0.0156,0.00156,844.87,0.382,0.0043
2020-01-01 23:00:00+00:00,2020-01-01 17:00:00-06:00,856.67,0.0213,0.00247,858.14,0.39,0.0234,833.59,0.0211,0.00245,835.04,0.381,0.0233
2020-01-02 00:00:00+00:00,2020-01-01 18:00:00-06:00,846.66,0.0211,0.00246,848.11,0.377,0.0229,824.4,0.0208,0.00244,825.83,0.368,0.0227
2020-01-02 01:00:00+00:00,2020-01-01 19:00:00-06:00,826.73,0.0165,0.00172,827.8,0.335,0.0084,811.4,0.0162,0.0017,812.46,0.327,0.0083
