datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 06:00:00+00:00,2020-01-01 00:00:00-06:00,1265.23,0.111,0.0159,1273.75,1.75,1.64,1262.89,0.111,0.0159,1271.4,1.75,1.64
2020-01-01 07:00:00+00:00,2020-01-01 01:00:00-06:00,1259.52,0.111,0.0158,1268.0,1.74,1.63,1256.72,0.111,0.0158,1265.2,1.74,1.63
2020-01-01 08:00:00+00:00,2020-01-01 02:00:00-06:00,1230.13,0.109,0.0155,1238.45,1.71,1.61,1228.08,0.109,0.0155,1236.41,1.71,1.61
2020-01-01 09:00:00+00:00,2020-01-01 03:00:00-06:00,1221.66,0.109,0.0155,1229.99,1.79,1.61,1219.72,0.109,0.0155,1228.04,1.79,1.61
2020-01-01 10:00:00+00:00,2020-01-01 04:00:00-06:00,1214.8,0.108,0.0155,1223.11,1.9,1.59,1212.84,0.108,0.0155,1221.15,1.9,1.59
2020-01-01 11:00:00+00:00,2020-01-01 05:00:00-06:00,1210.75,0.107,0.0154,1218.99,1.87,1.57,1208.42,0.107,0.0154,1216.66,1.87,1.57
2020-01-01 12:00:00+00:00,2020-01-01 06:00:00-06:00,1224.91,0.11,0.0157,1233.32,1.88,1.61,1222.14,0.11,0.0157,1230.55,1.88,1.61
2020-01-01 13:00:00+00:00,2020-01-01 07:00:00-06:00,1248.67,0.114,0.0163,1257.39,1.98,1.69,1246.32,0.114,0.0163,1255.04,1.98,1.69
2020-01-01 14:00:00+00:00,2020-01-01 08:00:00-06:00,1268.01,0.116,0.0167,1276.94,2.05,1.72,1265.58,0.116,0.0167,1274.51,2.05,1.72
2020-01-01 15:00:00+00:00,2020-01-01 09:00:00-06:00,1254.44,0.114,0.0163,1263.18,1.83,1.66,1251.77,0.114,0.0163,1260.51,1.83,1.66
2020-01-01 16:00:00+00:00,2020-01-01 10:00:00-06:00,1182.9,0.104,0.0149,1190.87,1.47,1.52,1180.44,0.104,0.0149,1188.42,1.47,1.52
2020-01-01 17:00:00+00:00,2020-01-01 11:00:00-06:00,1180.03,0.102,0.0146,1187.86,1.37,1.5,1177.31,0.102,0.0146,1185.13,1.37,1.5
2020-01-01 18:00:00+00:00,2020-01-01 12:00:00-06:00,1165.95,0.102,0.0145,1173.75,1.38,1.47,1163.16,0.102,0.0145,1170.95,1.38,1.47
2020-01-01 19:00:00+00:00,2020-01-01 13:00:00-06:00,1120.3,0.095,0.0135,1127.55,1.28,1.33,1117.2,0.095,0.0135,1124.45,1.28,1.33
2020-01-01 20:00:00+00:00,2020-01-01 14:00:00-06:00,1083.69,0.09,0.0128,1090.54,1.23,1.26,1080.87,0.09,0.0127,1087.72,1.23,1.26
2020-01-01 21:00:00+00:00,2020-01-01 15:00:00-06:00,1093.89,0.09,0.0128,1100.79,1.25,1.28,1091.03,0.09,0.0128,1097.93,1.25,1.28
2020-01-01 22:00:00+00:00,2020-01-01 16:00:00-06:00,1116.31,0.092,0.0131,1123.36,1.36,1.34,1114.37,0.092,0.0131,1121.43,1.36,1.34
2020-01-01 23:00:00+00:00,2020-01-01 17:00:00-06:00,1212.13,0.107,0.0153,1220.33,1.67,1.64,1210.39,0.107,0.0153,1218.59,1.67,1.64
2020-01-02 00:00:00+00:00,2020-01-01 18:00:00-06:00,1219.83,0.109,0.0156,1228.21,1.75,1.67,1218.11,0.109,0.0156,1226.49,1.75,1.67
2020-01-02 01:00:00+00:00,2020-01-01 19:00:00-06:00,1213.02,0.11,0.0157,1221.44,1.7,1.69,1211.43,0.11,0.0157,1219.85,1.7,1.69
2020-01-02 02:00:00+00:00,2020-01-01 20:00:00-06:00,1224.6,0.11,0.0157,1233.03,1.58,1.68,1222.45,0.11,0.0157,1230.87,1.58,1.68
2020-01-02 03:00:00+00:00,2020-01-01 21:00:00-06:00,1199.38,0.104,0.0148,1207.32,1.36,1.58,1196.95,0.104,0.0148,1204.89,1.36,1.58
2020-01-02 04:00:00+00:00,2020-01-01 22:00:00-06:00,1205.58,0.105,0.0149,1213.58,1.35,1.58,1202.89,0.105,0.0149,1210.9,1.35,1.58
2020-01-02 05:00:00+00:00,2020-01-01 23:00:00-06:00,1189.73,0.101,0.0145,1197.48,1.25,1.52,1187.45,0.101,0.0144,1195.2,1.25,1.52
2020-01-02 06:00:00+00:00,2020-01-02 00:00:00-06:00,1179.61,0.098,0.014,1187.12,1.23,1.48,1177.1,0.098,0.014,1184.61,1.23,1.48
2020-01-02 07:00:00+00:00,2020-01-02 01:00:00-06:00,1148.89,0.093,0.0132,1155.98,1.2,1.35,1145.69,0.093,0.0132,1152.77,1.2,1.35
2020-01-02 08:00:00+00:00,2020-01-02 02:00:00-06:00,1179.85,0.097,0.0138,1187.28,1.26,1.44,1176.9,0.097,0.0138,1184.33,1.26,1.44
2020-01-02 09:00:00+00:00,2020-01-02 03:00:00-06:00,1299.46,0.113,0.0162,1308.14,1.53,1.8,1298.27,0.113,0.0162,1306.95,1.53,1.8
2020-01-02 10:00:00+00:00,2020-01-02 04:00:00-06:00,1321.6,0.119,0.017,1330.72,1.72,1.85,1320.44,0.119,0.017,1329.55,1.72,1.85
2020-01-02 11:00:00+00:00,2020-01-02 05:00:00-06:00,1322.42,0.118,0.0169,1331.48,1.78,1.8,1321.15,0.118,0.0169,1330.2,1.78,1.8
2020-01-02 12:00:00+00:00,2020-01-02 06:00:00-06:00,1267.41,0.113,0.0162,1276.08,1.68,1.71,1265.14,0.113,0.0162,1273.81,1.68,1.71
2020-01-02 13:00:00+00:00,2020-01-02 07:00:00-06:00,1243.27,0.111,0.0158,1251.75,1.64,1.66,1240.93,0.111,0.0158,1249.4,1.64,1.66
2020-01-02 14:00:00+00:00,2020-01-02 08:00:00-06:00,1250.82,0.111,0.0159,1259.32,1.77,1.67,1248.53,0.111,0.0159,1257.03,1.77,1.67
2020-01-02 15:00:00+00:00,2020-01-02 09:00:00-06:00,1293.61,0.116,0.0165,1302.47,1.81,1.73,1291.85,0.116,0.0165,1300.7,1.81,1.73
2020-01-02 16:00:00+00:00,2020-01-02 10:00:00-06:00,1308.63,0.117,0.0167,1317.58,1.78,1.73,1306.55,0.117,0.0167,1315.5,1.78,1.73
2020-01-02 17:00:00+00:00,2020-01-02 11:00:00-06:00,1329.91,0.119,0.017,1339.02,1.79,1.76,1328.04,0.119,0.017,1337.15,1.79,1.75
2020-01-02 18:00:00+00:00,2020-01-02 12:00:00-06:00,1355.1,0.12,0.0172,1364.31,1.87,1.77,1352.82,0.12,0.0172,1362.03,1.87,1.77
2020-01-02 19:00:00+00:00,2020-01-02 13:00:00-06:00,1349.02,0.119,0.017,1358.14,1.8,1.76,1346.48,0.119,0.017,1355.6,1.8,1.76
2020-01-02 20:00:00+00:00,2020-01-02 14:00:00-06:00,1374.17,0.123,0.0175,1383.57,1.85,1.83,1371.87,0.123,0.0175,1381.27,1.85,1.83
2020-01-02 21:00:00+00:00,2020-01-02 15:00:00-06:00,1360.37,0.121,0.0173,1369.66,1.75,1.81,1358.28,0.121,0.0173,1367.56,1.75,1.81
2020-01-02 22:00:00+00:00,2020-01-02 16:00:00-06:00,1353.15,0.122,0.0174,1362.48,1.8,1.81,1351.07,0.122,0.0174,1360.4,1.79,1.81
2020-01-02 23:00:00+00:00,2020-01-02 17:00:00-06:00,1271.59,0.114,0.0164,1280.36,1.74,1.69,1270.0,0.114,0.0164,1278.76,1.74,1.69
2020-01-03 00:00:00+00:00,2020-01-02 18:00:00-06:00,1248.74,0.112,0.0161,1257.36,1.65,1.67,1247.19,0.112,0.0161,1255.8,1.64,1.67
2020-01-03 01:00:00+00:00,2020-01-02 19:00:00-06:00,1258.6,0.112,0.016,1267.19,1.67,1.66,1256.73,0.112,0.016,1265.32,1.67,1.66
2020-01-03 02:00:00+00:00,2020-01-02 20:00:00-06:00,1280.01,0.114,0.0164,1288.78,1.76,1.72,1278.96,0.114,0.0164,1287.73,1.76,1.72
2020-01-03 03:00:00+00:00,2020-01-02 21:00:00-06:00,1306.72,0.116,0.0166,1315.6,1.68,1.71,1305.26,0.116,0.0166,1314.14,1.68,1.71
2020-01-03 04:00:00+00:00,2020-01-02 22:00:00-06:00,1335.3,0.118,0.0169,1344.36,1.76,1.76,1334.1,0.118,0.0169,1343.16,1.76,1.76
2020-01-03 05:00:00+00:00,2020-01-02 23:00:00-06:00,1281.75,0.111,0.0158,1290.23,1.47,1.66,1280.21,0.111,0.0158,1288.68,1.47,1.66
2020-01-03 06:00:00+00:00,2020-01-03 00:00:00-06:00,1241.98,0.103,0.0147,1249.86,1.37,1.52,1240.38,0.103,0.0147,1248.26,1.37,1.52
2020-01-03 07:00:00+00:00,2020-01-03 01:00:00-06:00,1256.66,0.106,0.015,1264.72,1.39,1.57,1254.56,0.105,0.015,1262.62,1.39,1.57
2020-01-03 08:00:00+00:00,2020-01-03 02:00:00-06:00,1257.83,0.105,0.015,1265.86,1.44,1.57,1255.66,0.105,0.015,1263.69,1.44,1.57
2020-01-03 09:00:00+00:00,2020-01-03 03:00:00-06:00,1275.67,0.108,0.0154,1283.91,1.49,1.65,1273.9,0.108,0.0154,1282.14,1.49,1.65
2020-01-03 10:00:00+00:00,2020-01-03 04:00:00-06:00,1301.4,0.114,0.0163,1310.15,1.59,1.81,1300.41,0.114,0.0163,1309.16,1.59,1.81
2020-01-03 11:00:00+00:00,2020-01-03 05:00:00-06:00,1328.69,0.119,0.0171,1337.85,1.84,1.91,1327.78,0.119,0.0171,1336.93,1.84,1.91
2020-01-03 12:00:00+00:00,2020-01-03 06:00:00-06:00,1300.09,0.117,0.0168,1309.07,1.79,1.9,1298.98,0.117,0.0168,1307.96,1.79,1.9
2020-01-03 13:00:00+00:00,2020-01-03 07:00:00-06:00,1254.85,0.113,0.0161,1263.49,1.66,1.83,1253.79,0.113,0.0161,1262.43,1.66,1.83
2020-01-03 14:00:00+00:00,2020-01-03 08:00:00-06:00,1270.49,0.115,0.0165,1279.32,1.76,1.88,1269.68,0.115,0.0165,1278.51,1.76,1.88
2020-01-03 15:00:00+00:00,2020-01-03 09:00:00-06:00,1285.02,0.117,0.0167,1293.97,1.76,1.87,1283.86,0.117,0.0167,1292.81,1.76,1.87
2020-01-03 16:00:00+00:00,2020-01-03 10:00:00-06:00,1297.56,0.117,0.0167,1306.52,1.71,1.84,1296.0,0.117,0.0167,1304.96,1.7,1.84
2020-01-03 17:00:00+00:00,2020-01-03 11:00:00-06:00,1283.46,0.115,0.0164,1292.26,1.77,1.82,1282.43,0.115,0.0164,1291.23,1.77,1.82
2020-01-03 18:00:00+00:00,2020-01-03 12:00:00-06:00,1317.0,0.119,0.017,1326.09,1.88,1.89,1315.92,0.119,0.017,1325.01,1.88,1.89
2020-01-03 19:00:00+00:00,2020-01-03 13:00:00-06:00,1296.6,0.117,0.0167,1305.56,1.82,1.88,1295.3,0.117,0.0167,1304.26,1.81,1.88
2020-01-03 20:00:00+00:00,2020-01-03 14:00:00-06:00,1225.16,0.107,0.0153,1233.34,1.5,1.68,1223.13,0.107,0.0153,1231.31,1.5,1.68
2020-01-03 21:00:00+00:00,2020-01-03 15:00:00-06:00,1196.9,0.102,0.0146,1204.72,1.44,1.59,1194.47,0.102,0.0146,1202.28,1.44,1.59
2020-01-03 22:00:00+00:00,2020-01-03 16:00:00-06:00,1196.97,0.103,0.0147,1204.84,1.49,1.6,1194.57,0.103,0.0147,1202.44,1.49,1.6
2020-01-03 23:00:00+00:00,2020-01-03 17:00:00-06:00,1202.03,0.107,0.0153,1210.22,1.65,1.71,1200.82,0.107,0.0153,1209.01,1.65,1.71
2020-01-04 00:00:00+00:00,2020-01-03 18:00:00-06:00,1191.37,0.108,0.0155,1199.69,1.72,1.73,1190.15,0.108,0.0155,1198.46,1.72,1.73
2020-01-04 01:00:00+00:00,2020-01-03 19:00:00-06:00,1192.97,0.107,0.0154,1201.21,1.65,1.73,1192.05,0.107,0.0154,1200.28,1.65,1.73
2020-01-04 02:00:00+00:00,2020-01-03 20:00:00-06:00,1208.42,0.108,0.0154,1216.68,1.66,1.7,1207.42,0.108,0.0154,1215.68,1.66,1.7
2020-01-04 03:00:00+00:00,2020-01-03 21:00:00-06:00,1236.41,0.109,0.0156,1244.78,1.72,1.7,1234.93,0.109,0.0156,1243.3,1.72,1.7
2020-01-04 04:00:00+00:00,2020-01-03 22:00:00-06:00,1235.91,0.11,0.0157,1244.32,1.78,1.72,1234.47,0.11,0.0157,1242.89,1.78,1.72
2020-01-04 05:00:00+00:00,2020-01-03 23:00:00-06:00,1204.86,0.105,0.015,1212.92,1.63,1.64,1203.71,0.105,0.015,1211.76,1.62,1.64
2020-01-04 06:00:00+00:00,2020-01-04 00:00:00-06:00,1201.13,0.104,0.0149,1209.12,1.53,1.64,1200.17,0.104,0.0149,1208.16,1.53,1.64
2020-01-04 07:00:00+00:00,2020-01-04 01:00:00-06:00,1212.44,0.105,0.015,1220.5,1.51,1.66,1211.52,0.105,0.015,1219.58,1.51,1.66
2020-01-04 08:00:00+00:00,2020-01-04 02:00:00-06:00,1246.23,0.108,0.0155,1254.53,1.61,1.71,1245.0,0.108,0.0155,1253.3,1.61,1.71
2020-01-04 09:00:00+00:00,2020-01-04 03:00:00-06:00,1294.64,0.116,0.0166,1303.54,1.87,1.85,1293.58,0.116,0.0166,1302.48,1.87,1.85
2020-01-04 10:00:00+00:00,2020-01-04 04:00:00-06:00,1303.31,0.117,0.0168,1312.31,1.85,1.86,1302.25,0.117,0.0168,1311.25,1.85,1.86
2020-01-04 11:00:00+00:00,2020-01-04 05:00:00-06:00,1290.4,0.116,0.0167,1299.32,1.85,1.8,1288.24,0.116,0.0166,1297.15,1.85,1.8
2020-01-04 12:00:00+00:00,2020-01-04 06:00:00-06:00,1257.17,0.113,0.0161,1265.82,1.78,1.7,1253.68,0.113,0.0161,1262.33,1.78,1.7
2020-01-04 13:00:00+00:00,2020-01-04 07:00:00-06:00,1259.3,0.113,0.0162,1267.97,1.76,1.7,1255.28,0.113,0.0162,1263.94,1.76,1.7
2020-01-04 14:00:00+00:00,2020-01-04 08:00:00-06:00,1285.54,0.116,0.0166,1294.45,1.75,1.75,1281.34,0.116,0.0166,1290.25,1.74,1.75
2020-01-04 15:00:00+00:00,2020-01-04 09:00:00-06:00,1305.19,0.118,0.017,1314.27,1.82,1.78,1300.99,0.118,0.017,1310.07,1.81,1.78
2020-01-04 16:00:00+00:00,2020-01-04 10:00:00-06:00,1302.6,0.118,0.0169,1311.64,1.84,1.76,1298.49,0.118,0.0169,1307.53,1.84,1.76
2020-01-04 17:00:00+00:00,2020-01-04 11:00:00-06:00,1304.04,0.118,0.0169,1313.07,1.83,1.76,1300.16,0.118,0.0169,1309.18,1.83,1.76
2020-01-04 18:00:00+00:00,2020-01-04 12:00:00-06:00,1319.4,0.119,0.017,1328.51,1.85,1.79,1315.97,0.119,0.017,1325.08,1.85,1.79
2020-01-04 19:00:00+00:00,2020-01-04 13:00:00-06:00,1341.04,0.121,0.0173,1350.29,1.92,1.84,1338.77,0.121,0.0173,1348.01,1.92,1.84
2020-01-04 20:00:00+00:00,2020-01-04 14:00:00-06:00,1359.1,0.123,0.0176,1368.53,2.05,1.91,1357.71,0.123,0.0176,1367.14,2.05,1.91
2020-01-04 21:00:00+00:00,2020-01-04 15:00:00-06:00,1377.87,0.126,0.0181,1387.57,2.05,1.98,1376.04,0.126,0.0181,1385.74,2.05,1.98
2020-01-04 22:00:00+00:00,2020-01-04 16:00:00-06:00,1316.04,0.118,0.0169,1325.07,1.74,1.82,1313.89,0.118,0.0169,1322.92,1.74,1.82
2020-01-04 23:00:00+00:00,2020-01-04 17:00:00-06:00,1273.21,0.113,0.0162,1281.9,1.68,1.75,1270.55,0.113,0.0162,1279.24,1.68,1.75
2020-01-05 00:00:00+00:00,2020-01-04 18:00:00-06:00,1252.64,0.113,0.0161,1261.28,1.84,1.74,1250.32,0.113,0.0161,1258.96,1.84,1.74
2020-01-05 01:00:00+00:00,2020-01-04 19:00:00-06:00,1241.59,0.112,0.016,1250.15,1.79,1.71,1239.35,0.112,0.016,1247.91,1.79,1.71
2020-01-05 02:00:00+00:00,2020-01-04 20:00:00-06:00,1239.18,0.11,0.0158,1247.63,1.82,1.68,1236.99,0.11,0.0158,1245.43,1.81,1.68
2020-01-05 03:00:00+00:00,2020-01-04 21:00:00-06:00,1231.41,0.111,0.0158,1239.9,1.81,1.7,1229.47,0.111,0.0158,1237.95,1.81,1.7
2020-01-05 04:00:00+00:00,2020-01-04 22:00:00-06:00,1226.49,0.111,0.0158,1234.96,1.85,1.7,1225.2,0.111,0.0158,1233.67,1.85,1.7
2020-01-05 05:00:00+00:00,2020-01-04 23:00:00-06:00,1239.98,0.113,0.0162,1248.63,1.84,1.74,1238.64,0.113,0.0162,1247.29,1.84,1.74
2020-01-05 06:00:00+00:00,2020-01-05 00:00:00-06:00,1175.93,0.103,0.0148,1183.85,1.46,1.56,1173.64,0.103,0.0148,1181.55,1.46,1.56
2020-01-05 07:00:00+00:00,2020-01-05 01:00:00-06:00,1124.36,0.095,0.0135,1131.62,1.33,1.39,1121.36,0.095,0.0135,1128.62,1.33,1.39
2020-01-05 08:00:00+00:00,2020-01-05 02:00:00-06:00,1124.79,0.095,0.0135,1132.04,1.32,1.41,1121.65,0.095,0.0135,1128.9,1.32,1.41
2020-01-05 09:00:00+00:00,2020-01-05 03:00:00-06:00,1142.52,0.096,0.0137,1149.89,1.34,1.44,1139.15,0.096,0.0137,1146.51,1.33,1.44
2020-01-05 10:00:00+00:00,2020-01-05 04:00:00-06:00,1239.09,0.11,0.0157,1247.5,1.68,1.7,1236.47,0.11,0.0157,1244.88,1.68,1.7
2020-01-05 11:00:00+00:00,2020-01-05 05:00:00-06:00,1250.15,0.112,0.016,1258.7,1.73,1.68,1247.55,0.112,0.016,1256.1,1.73,1.68
2020-01-05 12:00:00+00:00,2020-01-05 06:00:00-06:00,1241.07,0.11,0.0158,1249.52,1.74,1.64,1238.31,0.11,0.0158,1246.76,1.74,1.64
2020-01-05 13:00:00+00:00,2020-01-05 07:00:00-06:00,1236.72,0.11,0.0157,1245.12,1.68,1.63,1234.17,0.11,0.0157,1242.57,1.67,1.63
2020-01-05 14:00:00+00:00,2020-01-05 08:00:00-06:00,1225.43,0.108,0.0155,1233.71,1.72,1.59,1222.49,0.108,0.0155,1230.77,1.72,1.59
2020-01-05 15:00:00+00:00,2020-01-05 09:00:00-06:00,1207.59,0.107,0.0152,1215.76,1.46,1.55,1204.13,0.107,0.0152,1212.3,1.46,1.55
2020-01-05 16:00:00+00:00,2020-01-05 10:00:00-06:00,1150.63,0.098,0.014,1158.13,1.29,1.41,1147.38,0.098,0.014,1154.87,1.29,1.41
2020-01-05 17:00:00+00:00,2020-01-05 11:00:00-06:00,1110.71,0.091,0.013,1117.67,1.16,1.31,1107.77,0.091,0.0129,1114.72,1.16,1.31
2020-01-05 18:00:00+00:00,2020-01-05 12:00:00-06:00,1095.31,0.089,0.0127,1102.14,1.17,1.29,1092.43,0.089,0.0127,1099.26,1.16,1.29
2020-01-05 19:00:00+00:00,2020-01-05 13:00:00-06:00,1086.4,0.088,0.0125,1093.09,1.14,1.24,1083.22,0.088,0.0124,1089.91,1.14,1.24
2020-01-05 20:00:00+00:00,2020-01-05 14:00:00-06:00,1097.96,0.089,0.0127,1104.76,1.22,1.27,1095.17,0.089,0.0126,1101.97,1.22,1.27
2020-01-05 21:00:00+00:00,2020-01-05 15:00:00-06:00,1109.38,0.09,0.0128,1116.26,1.25,1.29,1106.77,0.09,0.0128,1113.64,1.25,1.29
2020-01-05 22:00:00+00:00,2020-01-05 16:00:00-06:00,1215.72,0.105,0.015,1223.74,1.55,1.59,1213.99,0.105,0.015,1222.01,1.55,1.59
2020-01-05 23:00:00+00:00,2020-01-05 17:00:00-06:00,1269.99,0.114,0.0162,1278.69,1.74,1.77,1268.6,0.114,0.0162,1277.3,1.74,1.77
2020-01-06 00:00:00+00:00,2020-01-05 18:00:00-06:00,1281.26,0.116,0.0166,1290.14,1.78,1.78,1279.96,0.116,0.0166,1288.83,1.78,1.78
2020-01-06 01:00:00+00:00,2020-01-05 19:00:00-06:00,1278.94,0.116,0.0166,1287.83,1.8,1.76,1277.27,0.116,0.0166,1286.16,1.8,1.76
2020-01-06 02:00:00+00:00,2020-01-05 20:00:00-06:00,1293.88,0.117,0.0168,1302.85,1.83,1.78,1292.46,0.117,0.0168,1301.44,1.83,1.78
2020-01-06 03:00:00+00:00,2020-01-05 21:00:00-06:00,1283.73,0.116,0.0165,1292.59,1.8,1.74,1282.03,0.116,0.0165,1290.89,1.8,1.74
2020-01-06 04:00:00+00:00,2020-01-05 22:00:00-06:00,1319.89,0.119,0.0171,1329.05,1.9,1.78,1318.08,0.119,0.0171,1327.23,1.9,1.78
2020-01-06 05:00:00+00:00,2020-01-05 23:00:00-06:00,1300.28,0.115,0.0165,1309.12,1.68,1.72,1297.74,0.115,0.0165,1306.59,1.68,1.72
2020-01-06 06:00:00+00:00,2020-01-06 00:00:00-06:00,1271.06,0.111,0.0159,1279.58,1.6,1.67,1268.26,0.111,0.0159,1276.77,1.6,1.67
2020-01-06 07:00:00+00:00,2020-01-06 01:00:00-06:00,1258.5,0.109,0.0156,1266.86,1.65,1.65,1256.08,0.109,0.0156,1264.44,1.65,1.65
2020-01-06 08:00:00+00:00,2020-01-06 02:00:00-06:00,1328.53,0.119,0.017,1337.61,2.02,1.88,1326.84,0.119,0.017,1335.93,2.02,1.88
2020-01-06 09:00:00+00:00,2020-01-06 03:00:00-06:00,1355.17,0.122,0.0174,1364.51,2.08,1.98,1353.59,0.122,0.0174,1362.93,2.08,1.98
2020-01-06 10:00:00+00:00,2020-01-06 04:00:00-06:00,1334.96,0.12,0.0171,1344.13,2.0,1.95,1333.23,0.12,0.0171,1342.39,2.0,1.95
2020-01-06 11:00:00+00:00,2020-01-06 05:00:00-06:00,1316.33,0.117,0.0168,1325.31,1.97,1.92,1313.88,0.117,0.0168,1322.86,1.97,1.92
2020-01-06 12:00:00+00:00,2020-01-06 06:00:00-06:00,1255.43,0.112,0.016,1264.02,1.81,1.81,1252.35,0.112,0.016,1260.94,1.81,1.81
2020-01-06 13:00:00+00:00,2020-01-06 07:00:00-06:00,1247.02,0.112,0.016,1255.6,1.77,1.81,1244.04,0.112,0.016,1252.62,1.77,1.81
2020-01-06 14:00:00+00:00,2020-01-06 08:00:00-06:00,1258.15,0.113,0.0163,1266.85,1.82,1.82,1255.61,0.113,0.0162,1264.31,1.82,1.82
