datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 08:00:00+00:00,2020-01-01 00:00:00-08:00,664.72,0.0901,0.01265,671.55,0.694,0.432,504.72,0.09,0.01264,511.55,0.692,0.432
2020-01-01 09:00:00+00:00,2020-01-01 01:00:00-08:00,669.62,0.0912,0.01279,676.53,0.701,0.42,503.29,0.0911,0.01278,510.2,0.699,0.42
2020-01-01 10:00:00+00:00,2020-01-01 02:00:00-08:00,678.61,0.092,0.0129,685.59,0.714,0.428,511.59,0.0919,0.01289,518.56,0.712,0.428
2020-01-01 11:00:00+00:00,2020-01-01 03:00:00-08:00,677.83,0.0915,0.01284,684.77,0.708,0.423,512.65,0.0915,0.01283,519.58,0.706,0.423
2020-01-01 12:00:00+00:00,2020-01-01 04:00:00-08:00,672.81,0.091,0.01275,679.7,0.694,0.417,506.39,0.0909,0.01274,513.28,0.692,0.417
2020-01-01 13:00:00+00:00,2020-01-01 05:00:00-08:00,641.41,0.0886,0.01242,648.13,0.662,0.4,475.95,0.0886,0.01241,482.66,0.66,0.4
2020-01-01 14:00:00+00:00,2020-01-01 06:00:00-08:00,612.61,0.0855,0.01198,619.08,0.632,0.384,450.81,0.0854,0.01197,457.29,0.63,0.384
2020-01-01 15:00:00+00:00,2020-01-01 07:00:00-08:00,596.87,0.0833,0.01167,603.18,0.624,0.368,438.94,0.0832,0.01166,445.24,0.622,0.368
2020-01-01 16:00:00+00:00,2020-01-01 08:00:00-08:00,585.82,0.0813,0.01139,591.98,0.606,0.371,432.02,0.0812,0.01138,438.17,0.604,0.371
2020-01-01 17:00:00+00:00,2020-01-01 09:00:00-08:00,586.65,0.0782,0.01094,592.57,0.601,0.345,439.6,0.0781,0.01093,445.51,0.599,0.345
2020-01-01 18:00:00+00:00,2020-01-01 10:00:00-08:00,559.78,0.0755,0.01055,565.49,0.583,0.338,415.31,0.0754,0.01054,421.01,0.581,0.338
2020-01-01 19:00:00+00:00,2020-01-01 11:00:00-08:00,562.26,0.0772,0.0108,568.11,0.581,0.348,412.69,0.0771,0.01079,418.53,0.579,0.348
2020-01-01 20:00:00+00:00,2020-01-01 12:00:00-08:00,540.82,0.0754,0.01054,546.53,0.56,0.306,390.23,0.0754,0.01053,395.94,0.558,0.306
2020-01-01 21:00:00+00:00,2020-01-01 13:00:00-08:00,538.09,0.0754,0.01053,543.79,0.564,0.3,385.14,0.0753,0.01052,390.84,0.561,0.3
2020-01-01 22:00:00+00:00,2020-01-01 14:00:00-08:00,548.57,0.0767,0.01072,554.37,0.573,0.315,394.55,0.0767,0.01071,400.35,0.57,0.315
2020-01-01 23:00:00+00:00,2020-01-01 15:00:00-08:00,532.92,0.0726,0.01012,538.41,0.555,0.276,383.21,0.0725,0.01011,388.69,0.553,0.276
2020-01-02 00:00:00+00:00,2020-01-01 16:00:00-08:00,485.51,0.0658,0.00916,490.47,0.502,0.222,348.3,0.0657,0.00915,353.26,0.5,0.222
2020-01-02 01:00:00+00:00,2020-01-01 17:00:00-08:00,466.93,0.0639,0.0089,471.76,0.496,0.225,334.66,0.0638,0.00889,339.48,0.495,0.225
2020-01-02 02:00:00+00:00,2020-01-01 18:00:00-08:00,456.32,0.0623,0.00866,461.02,0.519,0.263,322.25,0.0622,0.00865,326.95,0.517,0.263
2020-01-02 03:00:00+00:00,2020-01-01 19:00:00-08:00,482.68,0.0658,0.00917,487.65,0.506,0.273,346.99,0.0658,0.00916,351.96,0.504,0.273
2020-01-02 04:00:00+00:00,2020-01-01 20:00:00-08:00,491.21,0.0677,0.00943,496.32,0.517,0.287,352.33,0.0676,0.00942,357.43,0.516,0.287
2020-01-02 05:00:00+00:00,2020-01-01 21:00:00-08:00,550.18,0.0741,0.01034,555.78,0.574,0.411,402.67,0.074,0.01033,408.26,0.572,0.411
2020-01-02 06:00:00+00:00,2020-01-01 22:00:00-08:00,589.86,0.0801,0.01118,595.92,0.623,0.461,432.59,0.08,0.01117,438.64,0.621,0.461
2020-01-02 07:00:00+00:00,2020-01-01 23:00:00-08:00,593.44,0.0839,0.01174,599.79,0.627,0.485,429.16,0.0838,0.01173,435.5,0.625,0.485
2020-01-02 08:00:00+00:00,2020-01-02 00:00:00-08:00,601.14,0.0852,0.01192,607.59,0.642,0.498,433.0,0.0851,0.01191,439.45,0.64,0.498
