datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,405.19,0.0229,0.00312,406.9,0.174,0.033,395.84,0.0228,0.00311,397.54,0.172,0.033
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,399.53,0.0226,0.00309,401.22,0.182,0.033,389.08,0.0225,0.00308,390.76,0.179,0.033
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,404.51,0.0234,0.0032,406.26,0.183,0.035,393.87,0.0233,0.00319,395.62,0.18,0.035
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,391.9,0.0224,0.00306,393.58,0.182,0.045,381.2,0.0223,0.00305,382.86,0.179,0.045
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,403.37,0.0233,0.00319,405.12,0.191,0.049,392.79,0.0232,0.00319,394.53,0.189,0.049
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,413.88,0.0252,0.00347,415.77,0.197,0.046,404.13,0.0251,0.00346,406.01,0.194,0.046
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,407.5,0.0248,0.00341,409.36,0.195,0.05,398.17,0.0247,0.0034,400.02,0.192,0.05
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,405.93,0.0261,0.00361,407.89,0.19,0.057,397.4,0.026,0.0036,399.35,0.188,0.057
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,418.21,0.0274,0.0038,420.28,0.203,0.062,408.38,0.0273,0.00379,410.43,0.201,0.062
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,364.58,0.0229,0.00315,366.3,0.169,0.045,352.11,0.0228,0.00314,353.82,0.167,0.045
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,337.94,0.0215,0.00297,339.55,0.163,0.039,324.36,0.0214,0.00296,325.97,0.16,0.039
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,337.21,0.0213,0.00294,338.81,0.163,0.038,322.48,0.0212,0.00294,324.07,0.16,0.038
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,336.7,0.0214,0.00295,338.3,0.167,0.039,321.52,0.0213,0.00294,323.12,0.164,0.039
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,322.53,0.0218,0.00303,324.17,0.17,0.043,306.33,0.0217,0.00302,307.97,0.167,0.043
2020-01-01 19:00:00+00:00,2020-01-01 14:00:00-05:00,324.23,0.0219,0.00305,325.88,0.174,0.041,308.4,0.0218,0.00304,310.05,0.171,0.041
2020-01-01 20:00:00+00:00,2020-01-01 15:00:00-05:00,334.38,0.022,0.00305,336.04,0.171,0.036,320.47,0.0219,0.00304,322.12,0.168,0.036
2020-01-01 21:00:00+00:00,2020-01-01 16:00:00-05:00,371.74,0.0225,0.0031,373.42,0.178,0.031,361.77,0.0224,0.00309,363.45,0.175,0.031
2020-01-01 22:00:00+00:00,2020-01-01 17:00:00-05:00,410.28,0.0253,0.00349,412.18,0.201,0.044,400.73,0.0252,0.00348,402.63,0.198,0.044
2020-01-01 23:00:00+00:00,2020-01-01 18:00:00-05:00,450.68,0.0297,0.00413,452.92,0.252,0.085,441.61,0.0296,0.00412,443.85,0.249,0.085
2020-01-02 00:00:00+00:00,2020-01-01 19:00:00-05:00,470.78,0.0322,0.0045,473.21,0.264,0.114,461.64,0.0322,0.00449,464.07,0.261,0.114
2020-01-02 01:00:00+00:00,2020-01-01 20:00:00-05:00,495.24,0.0346,0.00483,497.85,0.289,0.142,486.34,0.0345,0.00482,488.95,0.287,0.142
2020-01-02 02:00:00+00:00,2020-01-01 21:00:00-05:00,485.59,0.0333,0.00465,488.11,0.269,0.125,476.97,0.0332,0.00464,479.48,0.267,0.124
2020-01-02 03:00:00+00:00,2020-01-01 22:00:00-05:00,464.65,0.0301,0.00418,466.92,0.245,0.093,456.3,0.03,0.00417,458.56,0.242,0.093
2020-01-02 04:00:00+00:00,2020-01-01 23:00:00-05:00,457.3,0.0285,0.00393,459.44,0.213,0.07,448.63,0.0284,0.00392,450.77,0.211,0.07
2020-01-02 05:00:00+00:00,2020-01-02 00:00:00-05:00,426.45,0.0245,0.00335,428.28,0.184,0.047,417.1,0.0244,0.00334,418.92,0.182,0.047
2020-01-02 06:00:00+00:00,2020-01-02 01:00:00-05:00,415.79,0.0235,0.0032,417.54,0.179,0.044,406.29,0.0234,0.00319,408.03,0.176,0.044
2020-01-02 07:00:00+00:00,2020-01-02 02:00:00-05:00,416.85,0.0235,0.00322,418.61,0.181,0.047,407.18,0.0234,0.00321,408.93,0.178,0.047
2020-01-02 08:00:00+00:00,2020-01-02 03:00:00-05:00,421.19,0.0239,0.00326,422.97,0.182,0.05,411.48,0.0238,0.00325,413.26,0.18,0.05
2020-01-02 09:00:00+00:00,2020-01-02 04:00:00-05:00,431.68,0.0249,0.00342,433.55,0.194,0.058,421.86,0.0248,0.00341,423.72,0.192,0.058
2020-01-02 10:00:00+00:00,2020-01-02 05:00:00-05:00,460.55,0.0295,0.00408,462.77,0.222,0.077,451.01,0.0294,0.00407,453.22,0.219,0.077
2020-01-02 11:00:00+00:00,2020-01-02 06:00:00-05:00,445.09,0.0284,0.00393,447.23,0.229,0.076,435.83,0.0283,0.00392,437.96,0.226,0.076
2020-01-02 12:00:00+00:00,2020-01-02 07:00:00-05:00,422.93,0.0267,0.00369,424.93,0.209,0.073,413.97,0.0266,0.00368,415.97,0.207,0.073
2020-01-02 13:00:00+00:00,2020-01-02 08:00:00-05:00,426.16,0.0267,0.0037,428.17,0.217,0.077,417.03,0.0267,0.00369,419.04,0.214,0.077
2020-01-02 14:00:00+00:00,2020-01-02 09:00:00-05:00,439.72,0.0278,0.00385,441.82,0.234,0.073,428.5,0.0277,0.00384,430.59,0.232,0.073
2020-01-02 15:00:00+00:00,2020-01-02 10:00:00-05:00,428.93,0.027,0.00373,430.96,0.231,0.079,417.03,0.0269,0.00372,419.06,0.229,0.079
2020-01-02 16:00:00+00:00,2020-01-02 11:00:00-05:00,431.55,0.0272,0.00376,433.6,0.235,0.078,419.0,0.0272,0.00375,421.04,0.232,0.078
2020-01-02 17:00:00+00:00,2020-01-02 12:00:00-05:00,440.11,0.0283,0.00392,442.24,0.25,0.094,427.71,0.0283,0.00392,429.84,0.248,0.094
2020-01-02 18:00:00+00:00,2020-01-02 13:00:00-05:00,433.25,0.0276,0.00382,435.33,0.228,0.078,421.13,0.0275,0.00381,423.21,0.226,0.078
2020-01-02 19:00:00+00:00,2020-01-02 14:00:00-05:00,445.31,0.0289,0.00401,447.49,0.255,0.099,433.54,0.0289,0.004,435.72,0.252,0.099
2020-01-02 20:00:00+00:00,2020-01-02 15:00:00-05:00,467.07,0.0319,0.00445,469.48,0.262,0.119,455.88,0.0318,0.00444,458.29,0.26,0.118
2020-01-02 21:00:00+00:00,2020-01-02 16:00:00-05:00,479.39,0.0336,0.00469,481.92,0.265,0.132,469.91,0.0335,0.00468,472.45,0.262,0.132
2020-01-02 22:00:00+00:00,2020-01-02 17:00:00-05:00,473.1,0.0333,0.00466,475.62,0.266,0.152,465.04,0.0332,0.00465,467.56,0.264,0.152
2020-01-02 23:00:00+00:00,2020-01-02 18:00:00-05:00,474.62,0.0337,0.00471,477.17,0.264,0.138,466.41,0.0336,0.0047,468.96,0.262,0.138
2020-01-03 00:00:00+00:00,2020-01-02 19:00:00-05:00,483.32,0.0343,0.00481,485.92,0.268,0.146,474.79,0.0342,0.0048,477.39,0.266,0.146
2020-01-03 01:00:00+00:00,2020-01-02 20:00:00-05:00,501.16,0.0354,0.00495,503.84,0.282,0.148,491.68,0.0353,0.00494,494.36,0.28,0.148
2020-01-03 02:00:00+00:00,2020-01-02 21:00:00-05:00,496.91,0.0346,0.00483,499.52,0.274,0.127,486.61,0.0345,0.00482,489.22,0.271,0.127
2020-01-03 03:00:00+00:00,2020-01-02 22:00:00-05:00,474.46,0.0316,0.00439,476.84,0.235,0.097,464.39,0.0315,0.00438,466.77,0.232,0.097
2020-01-03 04:00:00+00:00,2020-01-02 23:00:00-05:00,427.61,0.0268,0.0037,429.62,0.202,0.062,416.32,0.0267,0.00369,418.32,0.2,0.062
2020-01-03 05:00:00+00:00,2020-01-03 00:00:00-05:00,401.13,0.0237,0.00325,402.9,0.181,0.043,389.38,0.0236,0.00324,391.15,0.178,0.043
2020-01-03 06:00:00+00:00,2020-01-03 01:00:00-05:00,389.65,0.0228,0.00312,391.36,0.178,0.033,377.65,0.0227,0.00311,379.35,0.175,0.033
2020-01-03 07:00:00+00:00,2020-01-03 02:00:00-05:00,400.1,0.0235,0.00322,401.86,0.225,0.036,388.04,0.0234,0.00321,389.79,0.222,0.036
2020-01-03 08:00:00+00:00,2020-01-03 03:00:00-05:00,398.11,0.0232,0.00319,399.85,0.206,0.032,386.27,0.0231,0.00318,388.0,0.203,0.032
2020-01-03 09:00:00+00:00,2020-01-03 04:00:00-05:00,415.39,0.0257,0.00355,417.32,0.215,0.044,403.31,0.0256,0.00354,405.23,0.212,0.044
2020-01-03 10:00:00+00:00,2020-01-03 05:00:00-05:00,438.96,0.0292,0.00405,441.16,0.186,0.056,426.85,0.0291,0.00404,429.05,0.183,0.056
2020-01-03 11:00:00+00:00,2020-01-03 06:00:00-05:00,459.89,0.03,0.00416,462.15,0.199,0.068,448.74,0.0299,0.00415,450.99,0.197,0.068
2020-01-03 12:00:00+00:00,2020-01-03 07:00:00-05:00,433.76,0.028,0.00388,435.86,0.205,0.061,423.24,0.0279,0.00387,425.34,0.203,0.061
2020-01-03 13:00:00+00:00,2020-01-03 08:00:00-05:00,414.05,0.0256,0.00353,415.97,0.182,0.048,402.84,0.0255,0.00352,404.76,0.179,0.048
2020-01-03 14:00:00+00:00,2020-01-03 09:00:00-05:00,404.44,0.0243,0.00334,406.26,0.178,0.045,392.32,0.0242,0.00333,394.14,0.176,0.045
2020-01-03 15:00:00+00:00,2020-01-03 10:00:00-05:00,391.79,0.0232,0.00318,393.52,0.168,0.044,378.91,0.0231,0.00317,380.63,0.165,0.044
2020-01-03 16:00:00+00:00,2020-01-03 11:00:00-05:00,393.18,0.0231,0.00317,394.91,0.198,0.045,380.36,0.023,0.00316,382.08,0.196,0.045
2020-01-03 17:00:00+00:00,2020-01-03 12:00:00-05:00,393.12,0.0231,0.00317,394.85,0.173,0.04,380.18,0.023,0.00316,381.9,0.17,0.04
2020-01-03 18:00:00+00:00,2020-01-03 13:00:00-05:00,405.5,0.0246,0.00338,407.35,0.189,0.049,392.3,0.0245,0.00337,394.14,0.187,0.049
