datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 06:00:00+00:00,2020-01-01 00:00:00-06:00,1606.61,0.173,0.0251,1619.99,0.91,2.43,1595.69,0.173,0.0251,1609.06,0.91,2.43
2020-01-01 07:00:00+00:00,2020-01-01 01:00:00-06:00,1628.67,0.176,0.0255,1642.25,0.87,2.52,1617.6,0.176,0.0255,1631.18,0.87,2.52
2020-01-01 08:00:00+00:00,2020-01-01 02:00:00-06:00,1606.47,0.172,0.025,1619.75,0.88,2.52,1594.36,0.172,0.025,1607.65,0.88,2.52
2020-01-01 09:00:00+00:00,2020-01-01 03:00:00-06:00,1648.82,0.178,0.0258,1662.54,0.9,2.65,1637.06,0.178,0.0258,1650.78,0.9,2.65
2020-01-01 10:00:00+00:00,2020-01-01 04:00:00-06:00,1619.08,0.175,0.0255,1632.63,0.86,2.59,1609.16,0.175,0.0255,1622.72,0.86,2.59
2020-01-01 11:00:00+00:00,2020-01-01 05:00:00-06:00,1926.25,0.213,0.0309,1942.69,0.99,3.02,1918.38,0.213,0.0309,1934.82,0.99,3.02
2020-01-01 12:00:00+00:00,2020-01-01 06:00:00-06:00,2246.1,0.258,0.0376,2266.06,1.31,4.12,2246.08,0.258,0.0376,2266.04,1.31,4.12
2020-01-01 13:00:00+00:00,2020-01-01 07:00:00-06:00,2170.26,0.249,0.0362,2189.5,1.29,3.82,2169.52,0.249,0.0362,2188.77,1.29,3.82
2020-01-01 14:00:00+00:00,2020-01-01 08:00:00-06:00,2050.29,0.232,0.0338,2068.26,1.24,3.56,2047.12,0.232,0.0338,2065.09,1.24,3.56
2020-01-01 15:00:00+00:00,2020-01-01 09:00:00-06:00,1975.4,0.223,0.0325,1992.67,1.2,3.52,1971.78,0.223,0.0325,1989.04,1.2,3.52
2020-01-01 16:00:00+00:00,2020-01-01 10:00:00-06:00,1969.12,0.222,0.0323,1986.3,1.21,3.5,1965.16,0.222,0.0323,1982.34,1.21,3.5
2020-01-01 17:00:00+00:00,2020-01-01 11:00:00-06:00,1587.36,0.17,0.0247,1600.49,0.98,2.4,1576.01,0.17,0.0247,1589.14,0.98,2.4
2020-01-01 18:00:00+00:00,2020-01-01 12:00:00-06:00,1447.79,0.152,0.022,1459.51,0.91,2.06,1434.06,0.152,0.022,1445.78,0.91,2.06
2020-01-01 19:00:00+00:00,2020-01-01 13:00:00-06:00,1477.16,0.155,0.0225,1489.15,0.91,2.09,1463.19,0.155,0.0225,1475.18,0.91,2.09
2020-01-01 20:00:00+00:00,2020-01-01 14:00:00-06:00,1573.52,0.167,0.0242,1586.41,0.98,2.27,1559.97,0.167,0.0242,1572.86,0.98,2.27
2020-01-01 21:00:00+00:00,2020-01-01 15:00:00-06:00,1877.42,0.208,0.0302,1893.5,1.02,3.28,1869.81,0.208,0.0302,1885.89,1.02,3.28
2020-01-01 22:00:00+00:00,2020-01-01 16:00:00-06:00,2035.38,0.232,0.0337,2053.29,1.09,3.78,2032.87,0.232,0.0337,2050.78,1.09,3.78
2020-01-01 23:00:00+00:00,2020-01-01 17:00:00-06:00,2035.78,0.233,0.0339,2053.78,1.06,3.74,2034.37,0.233,0.0339,2052.38,1.06,3.74
2020-01-02 00:00:00+00:00,2020-01-01 18:00:00-06:00,2116.79,0.242,0.0352,2135.51,1.17,3.95,2115.49,0.242,0.0352,2134.21,1.17,3.95
2020-01-02 01:00:00+00:00,2020-01-01 19:00:00-06:00,2116.49,0.242,0.0352,2135.19,1.18,4.03,2115.0,0.242,0.0352,2133.7,1.18,4.03
2020-01-02 02:00:00+00:00,2020-01-01 20:00:00-06:00,1584.42,0.171,0.0248,1597.61,1.02,2.56,1574.21,0.171,0.0248,1587.4,1.02,2.56
2020-01-02 03:00:00+00:00,2020-01-01 21:00:00-06:00,1410.32,0.147,0.0214,1421.7,0.87,2.09,1396.73,0.147,0.0213,1408.1,0.87,2.09
2020-01-02 04:00:00+00:00,2020-01-01 22:00:00-06:00,1450.92,0.152,0.0221,1462.68,0.87,2.21,1437.22,0.152,0.0221,1448.98,0.87,2.21
2020-01-02 05:00:00+00:00,2020-01-01 23:00:00-06:00,1515.66,0.16,0.0233,1528.05,0.9,2.38,1502.53,0.16,0.0233,1514.92,0.9,2.38
2020-01-02 06:00:00+00:00,2020-01-02 00:00:00-06:00,1537.91,0.163,0.0236,1550.49,0.91,2.49,1524.38,0.163,0.0236,1536.96,0.91,2.49
2020-01-02 07:00:00+00:00,2020-01-02 01:00:00-06:00,1568.1,0.166,0.0241,1580.95,0.92,2.66,1554.97,0.166,0.0241,1567.82,0.92,2.66
2020-01-02 08:00:00+00:00,2020-01-02 02:00:00-06:00,1572.7,0.166,0.0242,1585.56,0.92,2.72,1559.06,0.166,0.0242,1571.92,0.92,2.72
2020-01-02 09:00:00+00:00,2020-01-02 03:00:00-06:00,1526.27,0.161,0.0233,1538.68,0.89,2.63,1512.13,0.161,0.0233,1524.54,0.89,2.63
2020-01-02 10:00:00+00:00,2020-01-02 04:00:00-06:00,1591.32,0.17,0.0246,1604.42,0.91,2.78,1578.69,0.169,0.0246,1591.78,0.9,2.78
2020-01-02 11:00:00+00:00,2020-01-02 05:00:00-06:00,1861.68,0.206,0.03,1877.62,1.09,3.44,1854.71,0.206,0.03,1870.65,1.09,3.44
2020-01-02 12:00:00+00:00,2020-01-02 06:00:00-06:00,2042.22,0.233,0.0338,2060.22,1.12,4.02,2040.29,0.233,0.0338,2058.28,1.12,4.02
2020-01-02 13:00:00+00:00,2020-01-02 07:00:00-06:00,2089.07,0.24,0.035,2107.67,1.11,4.23,2089.07,0.24,0.035,2107.67,1.11,4.23
2020-01-02 14:00:00+00:00,2020-01-02 08:00:00-06:00,2070.95,0.238,0.0347,2089.39,1.1,4.18,2070.95,0.238,0.0347,2089.39,1.1,4.18
2020-01-02 15:00:00+00:00,2020-01-02 09:00:00-06:00,2117.37,0.244,0.0354,2136.21,1.1,4.27,2117.19,0.244,0.0354,2136.03,1.1,4.27
2020-01-02 16:00:00+00:00,2020-01-02 10:00:00-06:00,2095.9,0.241,0.0351,2114.57,1.1,4.18,2095.9,0.241,0.0351,2114.57,1.1,4.18
2020-01-02 17:00:00+00:00,2020-01-02 11:00:00-06:00,2110.27,0.243,0.0354,2129.07,1.12,4.19,2110.27,0.243,0.0354,2129.07,1.12,4.19
2020-01-02 18:00:00+00:00,2020-01-02 12:00:00-06:00,2080.42,0.239,0.0348,2098.94,1.13,4.18,2080.42,0.239,0.0348,2098.94,1.13,4.18
2020-01-02 19:00:00+00:00,2020-01-02 13:00:00-06:00,2108.81,0.243,0.0353,2127.59,1.14,4.19,2108.81,0.243,0.0353,2127.59,1.14,4.19
2020-01-02 20:00:00+00:00,2020-01-02 14:00:00-06:00,2113.85,0.243,0.0354,2132.68,1.11,4.13,2113.85,0.243,0.0354,2132.68,1.11,4.13
2020-01-02 21:00:00+00:00,2020-01-02 15:00:00-06:00,2120.7,0.244,0.0355,2139.59,1.11,4.15,2120.7,0.244,0.0355,2139.59,1.11,4.15
2020-01-02 22:00:00+00:00,2020-01-02 16:00:00-06:00,2085.2,0.24,0.0349,2103.77,1.1,4.12,2085.2,0.24,0.0349,2103.77,1.1,4.12
2020-01-02 23:00:00+00:00,2020-01-02 17:00:00-06:00,2101.23,0.242,0.0352,2119.94,1.1,4.14,2101.23,0.242,0.0352,2119.94,1.1,4.14
2020-01-03 00:00:00+00:00,2020-01-02 18:00:00-06:00,2124.64,0.245,0.0356,2143.57,1.13,4.2,2124.64,0.245,0.0356,2143.57,1.13,4.2
2020-01-03 01:00:00+00:00,2020-01-02 19:00:00-06:00,2121.25,0.244,0.0355,2140.14,1.11,4.2,2121.25,0.244,0.0355,2140.14,1.11,4.2
2020-01-03 02:00:00+00:00,2020-01-02 20:00:00-06:00,2122.74,0.244,0.0355,2141.62,1.28,4.16,2122.74,0.244,0.0355,2141.62,1.28,4.16
