datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,1000.44,0.0698,0.00908,1005.52,0.534,0.099,922.86,0.0697,0.00907,927.93,0.533,0.098
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,1009.18,0.0722,0.00943,1014.44,0.536,0.115,928.52,0.0722,0.00942,933.79,0.534,0.115
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,1014.71,0.0729,0.0095,1020.03,0.548,0.142,930.98,0.0729,0.0095,936.29,0.546,0.142
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,1030.21,0.0768,0.01008,1035.82,0.558,0.117,947.08,0.0768,0.01007,952.69,0.556,0.117
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,1031.49,0.077,0.0101,1037.11,0.561,0.109,948.11,0.0769,0.01009,953.73,0.559,0.109
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,1031.29,0.0766,0.01006,1036.89,0.557,0.137,950.65,0.0765,0.01005,956.24,0.555,0.137
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,1015.02,0.0737,0.00967,1020.41,0.545,0.162,938.29,0.0736,0.00966,943.68,0.543,0.162
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,985.52,0.0676,0.00883,990.44,0.501,0.095,914.53,0.0675,0.00883,919.46,0.499,0.095
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,958.98,0.0637,0.0083,963.62,0.491,0.085,892.09,0.0637,0.00829,896.73,0.489,0.085
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,936.58,0.0606,0.00788,940.98,0.477,0.081,872.36,0.0606,0.00787,876.77,0.475,0.081
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,941.65,0.0617,0.00804,946.14,0.478,0.125,878.32,0.0616,0.00803,882.81,0.476,0.125
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,935.57,0.0616,0.00803,940.06,0.482,0.106,872.05,0.0616,0.00802,876.54,0.48,0.106
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,923.11,0.0614,0.008,927.58,0.469,0.081,859.49,0.0614,0.008,863.96,0.467,0.081
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,938.54,0.0626,0.00816,943.1,0.478,0.084,873.08,0.0626,0.00815,877.64,0.477,0.084
2020-01-01 19:00:00+00:00,2020-01-01 14:00:00-05:00,941.42,0.0631,0.00823,946.02,0.483,0.1,875.56,0.0631,0.00822,880.16,0.481,0.1
2020-01-01 20:00:00+00:00,2020-01-01 15:00:00-05:00,945.83,0.0634,0.00826,950.45,0.483,0.165,879.89,0.0633,0.00826,884.5,0.482,0.165
2020-01-01 21:00:00+00:00,2020-01-01 16:00:00-05:00,956.32,0.0627,0.00817,960.89,0.489,0.103,891.2,0.0627,0.00816,895.77,0.487,0.103
2020-01-01 22:00:00+00:00,2020-01-01 17:00:00-05:00,975.87,0.0626,0.00814,980.43,0.495,0.088,912.23,0.0626,0.00814,916.79,0.494,0.088
2020-01-01 23:00:00+00:00,2020-01-01 18:00:00-05:00,977.55,0.0601,0.00779,981.91,0.534,0.146,917.98,0.06,0.00779,922.35,0.532,0.146
2020-01-02 00:00:00+00:00,2020-01-01 19:00:00-05:00,970.83,0.0612,0.00794,975.28,0.528,0.105,910.0,0.0611,0.00794,914.44,0.527,0.105
2020-01-02 01:00:00+00:00,2020-01-01 20:00:00-05:00,966.17,0.0624,0.00812,970.71,0.485,0.115,903.1,0.0623,0.00812,907.63,0.484,0.115
2020-01-02 02:00:00+00:00,2020-01-01 21:00:00-05:00,974.82,0.0648,0.00845,979.54,0.495,0.11,908.53,0.0647,0.00845,913.25,0.494,0.11
2020-01-02 03:00:00+00:00,2020-01-01 22:00:00-05:00,966.39,0.0655,0.00853,971.16,0.508,0.108,895.3,0.0655,0.00853,900.07,0.506,0.108
2020-01-02 04:00:00+00:00,2020-01-01 23:00:00-05:00,1004.45,0.0719,0.00939,1009.69,0.551,0.092,926.27,0.0718,0.00938,931.51,0.549,0.092
2020-01-02 05:00:00+00:00,2020-01-02 00:00:00-05:00,1022.75,0.0756,0.0099,1028.28,0.564,0.103,939.07,0.0756,0.0099,944.59,0.563,0.103
2020-01-02 06:00:00+00:00,2020-01-02 01:00:00-05:00,1036.05,0.078,0.01023,1041.76,0.582,0.107,949.24,0.078,0.01023,954.94,0.58,0.107
2020-01-02 07:00:00+00:00,2020-01-02 02:00:00-05:00,1032.21,0.0759,0.00992,1037.75,0.597,0.099,945.01,0.0758,0.00991,950.54,0.595,0.099
2020-01-02 08:00:00+00:00,2020-01-02 03:00:00-05:00,1031.53,0.0757,0.0099,1037.06,0.597,0.097,944.59,0.0757,0.0099,950.12,0.595,0.097
2020-01-02 09:00:00+00:00,2020-01-02 04:00:00-05:00,1017.23,0.074,0.00966,1022.63,0.575,0.152,932.24,0.0739,0.00966,937.63,0.573,0.152
2020-01-02 10:00:00+00:00,2020-01-02 05:00:00-05:00,1003.26,0.0715,0.00934,1008.48,0.55,0.097,923.89,0.0715,0.00933,929.11,0.549,0.097
2020-01-02 11:00:00+00:00,2020-01-02 06:00:00-05:00,970.72,0.0655,0.00854,975.49,0.492,0.107,900.61,0.0655,0.00854,905.38,0.491,0.107
2020-01-02 12:00:00+00:00,2020-01-02 07:00:00-05:00,975.78,0.0626,0.00814,980.34,0.514,0.124,911.46,0.0626,0.00814,916.01,0.513,0.124
2020-01-02 13:00:00+00:00,2020-01-02 08:00:00-05:00,960.48,0.0609,0.00791,964.91,0.505,0.117,898.61,0.0609,0.0079,903.03,0.504,0.117
2020-01-02 14:00:00+00:00,2020-01-02 09:00:00-05:00,941.61,0.0595,0.00771,945.93,0.493,0.101,880.29,0.0594,0.0077,884.61,0.492,0.101
2020-01-02 15:00:00+00:00,2020-01-02 10:00:00-05:00,951.21,0.0602,0.00781,955.59,0.489,0.14,889.15,0.0602,0.00781,893.52,0.488,0.14
2020-01-02 16:00:00+00:00,2020-01-02 11:00:00-05:00,946.12,0.0605,0.00786,950.52,0.483,0.09,884.21,0.0604,0.00785,888.61,0.481,0.09
2020-01-02 17:00:00+00:00,2020-01-02 12:00:00-05:00,935.56,0.0602,0.00784,939.95,0.466,0.108,874.6,0.0602,0.00784,878.99,0.465,0.108
2020-01-02 18:00:00+00:00,2020-01-02 13:00:00-05:00,931.53,0.0593,0.00771,935.85,0.451,0.121,870.41,0.0593,0.0077,874.72,0.449,0.121
2020-01-02 19:00:00+00:00,2020-01-02 14:00:00-05:00,933.36,0.0596,0.00775,937.7,0.442,0.093,874.06,0.0595,0.00775,878.39,0.441,0.093
2020-01-02 20:00:00+00:00,2020-01-02 15:00:00-05:00,931.16,0.0591,0.00769,935.46,0.439,0.1,873.0,0.059,0.00769,877.3,0.437,0.1
2020-01-02 21:00:00+00:00,2020-01-02 16:00:00-05:00,941.89,0.0591,0.00769,946.2,0.443,0.103,884.44,0.0591,0.00769,888.74,0.442,0.103
2020-01-02 22:00:00+00:00,2020-01-02 17:00:00-05:00,957.84,0.0591,0.00768,962.14,0.448,0.098,900.59,0.0591,0.00768,904.89,0.447,0.098
2020-01-02 23:00:00+00:00,2020-01-02 18:00:00-05:00,960.68,0.0578,0.00751,964.88,0.472,0.188,905.98,0.0578,0.0075,910.18,0.471,0.188
2020-01-03 00:00:00+00:00,2020-01-02 19:00:00-05:00,960.79,0.0586,0.00762,965.06,0.459,0.106,904.58,0.0586,0.00761,908.85,0.458,0.106
2020-01-03 01:00:00+00:00,2020-01-02 20:00:00-05:00,964.82,0.0603,0.00785,969.21,0.454,0.094,906.36,0.0603,0.00784,910.75,0.453,0.094
2020-01-03 02:00:00+00:00,2020-01-02 21:00:00-05:00,984.26,0.0634,0.00826,988.88,0.477,0.211,921.9,0.0633,0.00825,926.51,0.476,0.211
2020-01-03 03:00:00+00:00,2020-01-02 22:00:00-05:00,973.0,0.0632,0.00821,977.6,0.479,0.107,906.2,0.0632,0.00821,910.79,0.478,0.107
2020-01-03 04:00:00+00:00,2020-01-02 23:00:00-05:00,998.25,0.0657,0.00849,1003.01,0.492,0.084,924.45,0.0656,0.00849,929.21,0.49,0.084
2020-01-03 05:00:00+00:00,2020-01-03 00:00:00-05:00,1017.78,0.0688,0.0089,1022.77,0.502,0.079,938.19,0.0688,0.00889,943.17,0.501,0.079
2020-01-03 06:00:00+00:00,2020-01-03 01:00:00-05:00,1045.41,0.0736,0.00955,1050.76,0.575,0.104,960.43,0.0736,0.00954,965.78,0.573,0.104
2020-01-03 07:00:00+00:00,2020-01-03 02:00:00-05:00,1059.65,0.0761,0.00987,1065.18,0.589,0.097,970.54,0.076,0.00987,976.07,0.587,0.097
2020-01-03 08:00:00+00:00,2020-01-03 03:00:00-05:00,1071.9,0.0771,0.01,1077.5,0.601,0.139,980.44,0.077,0.00999,986.03,0.599,0.139
2020-01-03 09:00:00+00:00,2020-01-03 04:00:00-05:00,1068.44,0.076,0.00985,1073.97,0.602,0.115,978.12,0.076,0.00985,983.64,0.6,0.115
2020-01-03 10:00:00+00:00,2020-01-03 05:00:00-05:00,1035.49,0.0712,0.00921,1040.66,0.565,0.117,951.15,0.0712,0.0092,956.31,0.563,0.117
2020-01-03 11:00:00+00:00,2020-01-03 06:00:00-05:00,994.01,0.0653,0.00842,998.74,0.502,0.125,918.64,0.0652,0.00841,923.37,0.5,0.125
2020-01-03 12:00:00+00:00,2020-01-03 07:00:00-05:00,968.69,0.0606,0.00779,973.08,0.482,0.086,899.28,0.0606,0.00779,903.66,0.481,0.086
2020-01-03 13:00:00+00:00,2020-01-03 08:00:00-05:00,969.93,0.06,0.00772,974.28,0.486,0.115,904.45,0.0599,0.00772,908.79,0.485,0.115
2020-01-03 14:00:00+00:00,2020-01-03 09:00:00-05:00,961.4,0.059,0.00761,965.67,0.483,0.084,899.16,0.0589,0.0076,903.43,0.481,0.084
2020-01-03 15:00:00+00:00,2020-01-03 10:00:00-05:00,958.93,0.0579,0.00747,963.12,0.449,0.113,900.42,0.0578,0.00747,904.62,0.448,0.113
2020-01-03 16:00:00+00:00,2020-01-03 11:00:00-05:00,947.33,0.0558,0.00719,951.37,0.441,0.118,891.63,0.0557,0.00718,895.66,0.44,0.118
2020-01-03 17:00:00+00:00,2020-01-03 12:00:00-05:00,936.62,0.0538,0.00692,940.51,0.435,0.079,883.66,0.0538,0.00691,887.55,0.434,0.079
2020-01-03 18:00:00+00:00,2020-01-03 13:00:00-05:00,927.95,0.0522,0.00669,931.72,0.425,0.094,877.09,0.0521,0.00668,880.86,0.424,0.094
2020-01-03 19:00:00+00:00,2020-01-03 14:00:00-05:00,940.3,0.0512,0.00655,944.0,0.675,0.106,891.66,0.0511,0.00655,895.35,0.673,0.106
2020-01-03 20:00:00+00:00,2020-01-03 15:00:00-05:00,964.37,0.052,0.00667,968.13,0.554,0.105,916.14,0.0519,0.00667,919.9,0.553,0.104
2020-01-03 21:00:00+00:00,2020-01-03 16:00:00-05:00,969.87,0.0522,0.0067,973.64,0.528,0.098,921.2,0.0522,0.00669,924.97,0.527,0.098
2020-01-03 22:00:00+00:00,2020-01-03 17:00:00-05:00,974.57,0.0533,0.00685,978.42,0.506,0.097,925.12,0.0532,0.00684,928.97,0.505,0.097
2020-01-03 23:00:00+00:00,2020-01-03 18:00:00-05:00,976.95,0.0528,0.00678,980.76,0.535,0.102,928.4,0.0528,0.00678,932.22,0.533,0.102
2020-01-04 00:00:00+00:00,2020-01-03 19:00:00-05:00,947.09,0.0533,0.00685,950.95,0.439,0.084,896.7,0.0533,0.00685,900.55,0.438,0.084
2020-01-04 01:00:00+00:00,2020-01-03 20:00:00-05:00,928.17,0.0542,0.00698,932.1,0.425,0.084,874.05,0.0542,0.00698,877.97,0.423,0.084
2020-01-04 02:00:00+00:00,2020-01-03 21:00:00-05:00,935.88,0.0565,0.00729,939.97,0.432,0.082,877.88,0.0564,0.00728,881.97,0.431,0.082
2020-01-04 03:00:00+00:00,2020-01-03 22:00:00-05:00,927.52,0.0559,0.00717,931.56,0.425,0.083,865.75,0.0558,0.00717,869.79,0.424,0.082
2020-01-04 04:00:00+00:00,2020-01-03 23:00:00-05:00,951.87,0.0591,0.00758,956.14,0.454,0.134,884.69,0.059,0.00758,888.96,0.453,0.134
2020-01-04 05:00:00+00:00,2020-01-04 00:00:00-05:00,964.62,0.0626,0.00805,969.15,0.481,0.077,892.45,0.0625,0.00804,896.97,0.48,0.077
2020-01-04 06:00:00+00:00,2020-01-04 01:00:00-05:00,988.91,0.0663,0.00854,993.71,0.493,0.092,911.82,0.0662,0.00854,916.62,0.492,0.092
2020-01-04 07:00:00+00:00,2020-01-04 02:00:00-05:00,1013.88,0.0692,0.00894,1018.9,0.493,0.097,932.56,0.0692,0.00893,937.57,0.491,0.097
2020-01-04 08:00:00+00:00,2020-01-04 03:00:00-05:00,1014.17,0.0692,0.00892,1019.18,0.479,0.102,930.92,0.0691,0.00891,935.93,0.477,0.101
2020-01-04 09:00:00+00:00,2020-01-04 04:00:00-05:00,1017.54,0.0684,0.00881,1022.49,0.479,0.089,934.06,0.0684,0.0088,939.01,0.477,0.089
2020-01-04 10:00:00+00:00,2020-01-04 05:00:00-05:00,1012.43,0.0677,0.00872,1017.33,0.485,0.084,930.65,0.0676,0.00871,935.54,0.484,0.084
2020-01-04 11:00:00+00:00,2020-01-04 06:00:00-05:00,1002.06,0.066,0.00849,1006.84,0.486,0.123,923.67,0.066,0.00849,928.44,0.485,0.123
2020-01-04 12:00:00+00:00,2020-01-04 07:00:00-05:00,988.56,0.0635,0.00817,993.15,0.495,0.128,915.42,0.0634,0.00816,920.01,0.493,0.128
