datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 08:00:00+00:00,2020-01-01 00:00:00-08:00,554.59,0.1198,0.01582,563.38,0.228,0.616,230.97,0.1198,0.01582,239.76,0.228,0.616
2020-01-01 09:00:00+00:00,2020-01-01 01:00:00-08:00,553.71,0.1209,0.01595,562.57,0.227,0.623,225.36,0.1209,0.01595,234.22,0.227,0.623
2020-01-01 10:00:00+00:00,2020-01-01 02:00:00-08:00,539.31,0.1215,0.016,548.21,0.218,0.635,202.28,0.1215,0.016,211.18,0.218,0.635
2020-01-01 11:00:00+00:00,2020-01-01 03:00:00-08:00,535.88,0.1218,0.01603,544.8,0.215,0.638,196.36,0.1218,0.01603,205.28,0.215,0.638
2020-01-01 12:00:00+00:00,2020-01-01 04:00:00-08:00,537.11,0.1218,0.01603,546.03,0.215,0.637,198.52,0.1218,0.01603,207.44,0.215,0.637
2020-01-01 13:00:00+00:00,2020-01-01 05:00:00-08:00,531.39,0.1214,0.01598,540.28,0.212,0.639,191.3,0.1214,0.01598,200.19,0.212,0.639
2020-01-01 14:00:00+00:00,2020-01-01 06:00:00-08:00,532.18,0.1196,0.01575,540.94,0.213,0.627,199.54,0.1196,0.01575,208.3,0.213,0.627
2020-01-01 15:00:00+00:00,2020-01-01 07:00:00-08:00,480.93,0.111,0.01461,489.05,0.191,0.583,169.63,0.111,0.01461,177.75,0.191,0.583
2020-01-01 16:00:00+00:00,2020-01-01 08:00:00-08:00,348.58,0.0893,0.01172,355.1,0.133,0.481,87.26,0.0893,0.01172,93.78,0.133,0.481
2020-01-01 17:00:00+00:00,2020-01-01 09:00:00-08:00,319.19,0.0817,0.01073,325.17,0.122,0.441,79.94,0.0817,0.01073,85.91,0.122,0.441
2020-01-01 18:00:00+00:00,2020-01-01 10:00:00-08:00,337.73,0.0839,0.01103,343.87,0.131,0.447,96.1,0.0839,0.01103,102.24,0.131,0.447
2020-01-01 19:00:00+00:00,2020-01-01 11:00:00-08:00,343.29,0.0849,0.01116,349.51,0.133,0.451,99.54,0.0849,0.01116,105.76,0.133,0.451
2020-01-01 20:00:00+00:00,2020-01-01 12:00:00-08:00,331.85,0.0832,0.01093,337.94,0.129,0.444,91.28,0.0832,0.01093,97.37,0.129,0.444
2020-01-01 21:00:00+00:00,2020-01-01 13:00:00-08:00,353.83,0.0867,0.0114,360.18,0.139,0.458,106.48,0.0867,0.0114,112.82,0.139,0.458
2020-01-01 22:00:00+00:00,2020-01-01 14:00:00-08:00,351.93,0.0901,0.01183,358.52,0.135,0.486,88.1,0.0901,0.01183,94.69,0.135,0.486
2020-01-01 23:00:00+00:00,2020-01-01 15:00:00-08:00,437.56,0.1065,0.01401,445.35,0.171,0.564,133.37,0.1065,0.01401,141.16,0.171,0.564
2020-01-02 00:00:00+00:00,2020-01-01 16:00:00-08:00,520.05,0.1184,0.0156,528.72,0.207,0.617,191.12,0.1184,0.0156,199.8,0.206,0.617
2020-01-02 01:00:00+00:00,2020-01-01 17:00:00-08:00,540.79,0.1157,0.01527,549.27,0.223,0.592,229.91,0.1157,0.01527,238.39,0.223,0.592
2020-01-02 02:00:00+00:00,2020-01-01 18:00:00-08:00,546.83,0.1147,0.01515,555.24,0.227,0.584,242.05,0.1147,0.01515,250.46,0.227,0.584
