datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,542.6,0.0766,0.01005,548.2,0.466,0.0785,393.1,0.0765,0.01004,398.69,0.462,0.0784
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,532.14,0.0779,0.01024,537.84,0.474,0.0828,379.81,0.0777,0.01022,385.5,0.47,0.0827
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,513.97,0.0762,0.01003,519.55,0.491,0.0857,368.3,0.0761,0.01001,373.87,0.487,0.0857
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,508.81,0.0715,0.00939,514.04,0.467,0.0892,384.24,0.0715,0.00938,389.47,0.464,0.0891
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,506.97,0.0711,0.00933,512.17,0.467,0.0889,383.23,0.071,0.00932,388.43,0.464,0.0889
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,508.68,0.0699,0.00917,513.79,0.468,0.0874,387.36,0.0698,0.00916,392.46,0.465,0.0874
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,512.41,0.069,0.00904,517.45,0.457,0.0859,393.08,0.0689,0.00903,398.11,0.454,0.0858
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,502.48,0.0669,0.00877,507.37,0.455,0.0847,388.37,0.0668,0.00876,393.25,0.452,0.0847
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,496.49,0.064,0.00835,501.16,0.425,0.0827,390.83,0.0639,0.00835,395.49,0.422,0.0826
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,491.53,0.0623,0.00814,496.08,0.414,0.0798,389.05,0.0623,0.00813,393.59,0.411,0.0798
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,489.24,0.0623,0.00813,493.78,0.403,0.0748,382.26,0.0622,0.00812,386.8,0.4,0.0748
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,490.24,0.0614,0.00802,494.72,0.398,0.0749,384.92,0.0614,0.00801,389.4,0.395,0.0748
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,494.11,0.061,0.00797,498.56,0.396,0.075,389.64,0.061,0.00796,394.08,0.394,0.0749
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,503.71,0.0605,0.00788,508.12,0.388,0.0735,400.79,0.0604,0.00788,405.19,0.385,0.0734
2020-01-01 19:00:00+00:00,2020-01-01 14:00:00-05:00,522.51,0.06,0.00781,526.88,0.408,0.0724,421.29,0.0599,0.0078,425.65,0.405,0.0724
2020-01-01 20:00:00+00:00,2020-01-01 15:00:00-05:00,525.98,0.0588,0.00764,530.26,0.401,0.0705,427.31,0.0587,0.00763,431.58,0.399,0.0704
2020-01-01 21:00:00+00:00,2020-01-01 16:00:00-05:00,519.31,0.0554,0.00718,523.33,0.351,0.0673,427.58,0.0553,0.00717,431.6,0.349,0.0673
