datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 08:00:00+00:00,2020-01-01 00:00:00-08:00,913.02,0.0463,0.00621,916.44,0.603,0.318,907.56,0.0462,0.0062,910.98,0.601,0.318
2020-01-01 09:00:00+00:00,2020-01-01 01:00:00-08:00,903.74,0.0448,0.006,907.05,0.59,0.309,898.45,0.0448,0.00599,901.75,0.588,0.309
2020-01-01 10:00:00+00:00,2020-01-01 02:00:00-08:00,890.05,0.0436,0.00583,893.27,0.576,0.302,884.79,0.0435,0.00582,888.01,0.574,0.302
2020-01-01 11:00:00+00:00,2020-01-01 03:00:00-08:00,892.19,0.0441,0.00589,895.45,0.582,0.304,886.77,0.044,0.00589,890.02,0.58,0.304
2020-01-01 12:00:00+00:00,2020-01-01 04:00:00-08:00,901.12,0.0442,0.0059,904.38,0.585,0.302,895.72,0.0441,0.00589,898.98,0.583,0.302
2020-01-01 13:00:00+00:00,2020-01-01 05:00:00-08:00,891.84,0.0411,0.00544,894.86,0.566,0.286,886.93,0.0411,0.00543,889.95,0.564,0.286
2020-01-01 14:00:00+00:00,2020-01-01 06:00:00-08:00,902.53,0.0419,0.00555,905.6,0.584,0.294,897.77,0.0418,0.00554,900.84,0.582,0.294
2020-01-01 15:00:00+00:00,2020-01-01 07:00:00-08:00,902.08,0.0412,0.00545,905.11,0.584,0.278,897.55,0.0412,0.00545,900.57,0.582,0.278
2020-01-01 16:00:00+00:00,2020-01-01 08:00:00-08:00,822.23,0.0408,0.00547,825.25,0.552,0.283,816.72,0.0408,0.00546,819.73,0.55,0.283
2020-01-01 17:00:00+00:00,2020-01-01 09:00:00-08:00,750.51,0.0405,0.00549,753.53,0.509,0.276,744.67,0.0405,0.00549,747.68,0.507,0.275
2020-01-01 18:00:00+00:00,2020-01-01 10:00:00-08:00,758.46,0.0415,0.00563,761.55,0.527,0.265,752.03,0.0414,0.00562,755.11,0.525,0.265
2020-01-01 19:00:00+00:00,2020-01-01 11:00:00-08:00,768.08,0.0418,0.00566,771.19,0.534,0.269,761.39,0.0418,0.00566,764.5,0.532,0.269
2020-01-01 20:00:00+00:00,2020-01-01 12:00:00-08:00,776.98,0.0419,0.00567,780.09,0.551,0.273,769.85,0.0418,0.00566,772.96,0.548,0.273
2020-01-01 21:00:00+00:00,2020-01-01 13:00:00-08:00,734.92,0.0378,0.00509,737.72,0.513,0.265,729.5,0.0378,0.00509,732.3,0.511,0.265
2020-01-01 22:00:00+00:00,2020-01-01 14:00:00-08:00,728.64,0.0371,0.00499,731.39,0.518,0.262,723.36,0.0371,0.00499,726.11,0.516,0.262
2020-01-01 23:00:00+00:00,2020-01-01 15:00:00-08:00,804.98,0.0352,0.00462,807.55,0.557,0.25,800.39,0.0352,0.00462,802.97,0.555,0.25
2020-01-02 00:00:00+00:00,2020-01-01 16:00:00-08:00,868.23,0.0368,0.00481,870.92,0.594,0.253,863.28,0.0368,0.0048,865.96,0.592,0.253
2020-01-02 01:00:00+00:00,2020-01-01 17:00:00-08:00,903.9,0.0427,0.00567,907.04,0.649,0.281,898.98,0.0426,0.00567,902.12,0.647,0.281
2020-01-02 02:00:00+00:00,2020-01-01 18:00:00-08:00,842.86,0.0411,0.00549,845.89,0.656,0.287,838.15,0.0411,0.00549,841.18,0.654,0.287
2020-01-02 03:00:00+00:00,2020-01-01 19:00:00-08:00,904.31,0.0439,0.00585,907.55,0.696,0.318,899.14,0.0438,0.00584,902.37,0.694,0.318
2020-01-02 04:00:00+00:00,2020-01-01 20:00:00-08:00,921.87,0.0459,0.00615,925.26,0.695,0.317,916.27,0.0458,0.00614,919.66,0.693,0.317
2020-01-02 05:00:00+00:00,2020-01-01 21:00:00-08:00,924.0,0.0474,0.00637,927.51,0.689,0.368,918.43,0.0473,0.00637,921.93,0.687,0.368
2020-01-02 06:00:00+00:00,2020-01-01 22:00:00-08:00,933.81,0.0452,0.00603,937.15,0.657,0.344,928.55,0.0452,0.00603,931.89,0.655,0.344
2020-01-02 07:00:00+00:00,2020-01-01 23:00:00-08:00,917.3,0.0425,0.00563,920.43,0.626,0.315,912.11,0.0425,0.00563,915.23,0.624,0.315
2020-01-02 08:00:00+00:00,2020-01-02 00:00:00-08:00,896.18,0.0391,0.00512,899.03,0.558,0.268,891.22,0.039,0.00512,894.07,0.556,0.267
2020-01-02 09:00:00+00:00,2020-01-02 01:00:00-08:00,906.27,0.0424,0.00563,909.39,0.581,0.291,900.98,0.0423,0.00562,904.09,0.579,0.291
2020-01-02 10:00:00+00:00,2020-01-02 02:00:00-08:00,908.64,0.041,0.00541,911.65,0.57,0.286,903.76,0.041,0.00541,906.77,0.568,0.286
2020-01-02 11:00:00+00:00,2020-01-02 03:00:00-08:00,912.89,0.0409,0.00539,915.88,0.573,0.285,908.06,0.0408,0.00538,911.05,0.571,0.285
2020-01-02 12:00:00+00:00,2020-01-02 04:00:00-08:00,907.33,0.0406,0.00535,910.31,0.562,0.281,902.42,0.0406,0.00534,905.39,0.56,0.281
2020-01-02 13:00:00+00:00,2020-01-02 05:00:00-08:00,892.41,0.0382,0.00499,895.19,0.544,0.267,887.87,0.0381,0.00499,890.65,0.543,0.267
2020-01-02 14:00:00+00:00,2020-01-02 06:00:00-08:00,886.48,0.0375,0.00489,889.21,0.524,0.272,882.08,0.0374,0.00488,884.8,0.523,0.272
2020-01-02 15:00:00+00:00,2020-01-02 07:00:00-08:00,865.22,0.0387,0.00509,868.05,0.533,0.331,861.05,0.0386,0.00509,863.88,0.532,0.33
2020-01-02 16:00:00+00:00,2020-01-02 08:00:00-08:00,758.36,0.0331,0.00434,760.78,0.471,0.288,754.6,0.033,0.00434,757.01,0.47,0.288
