datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,380.2,0.0316,0.00409,382.49,0.374,0.0669,337.76,0.0314,0.00408,340.04,0.37,0.0668
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,376.88,0.0322,0.00418,379.22,0.388,0.0658,332.88,0.032,0.00417,335.21,0.382,0.0657
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,366.3,0.0315,0.0041,368.6,0.389,0.0606,322.37,0.0314,0.00408,324.65,0.384,0.0605
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,376.64,0.0327,0.00427,379.03,0.37,0.0717,333.09,0.0326,0.00426,335.47,0.366,0.0717
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,383.36,0.0324,0.00423,385.72,0.37,0.0713,340.66,0.0323,0.00422,343.02,0.365,0.0713
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,381.03,0.0317,0.00413,383.34,0.368,0.0683,338.87,0.0316,0.00412,341.17,0.363,0.0683
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,374.34,0.0302,0.00392,376.53,0.355,0.0612,333.89,0.0301,0.0039,336.07,0.351,0.0611
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,372.89,0.0291,0.00377,375.01,0.337,0.0568,334.19,0.029,0.00376,336.3,0.332,0.0568
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,375.88,0.0287,0.0037,377.95,0.334,0.0544,337.85,0.0285,0.00369,339.91,0.33,0.0543
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,379.57,0.0283,0.00365,381.62,0.33,0.0555,342.45,0.0282,0.00364,344.49,0.326,0.0554
