datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 08:00:00+00:00,2020-01-01 00:00:00-08:00,368.93,0.0328,0.00435,371.34,0.28,0.074,309.51,0.0327,0.00435,311.92,0.277,0.0739
2020-01-01 09:00:00+00:00,2020-01-01 01:00:00-08:00,424.04,0.0349,0.0046,426.6,0.3,0.0716,362.72,0.0348,0.00459,365.27,0.297,0.0715
2020-01-01 10:00:00+00:00,2020-01-01 02:00:00-08:00,446.0,0.0351,0.0046,448.57,0.307,0.0672,382.64,0.035,0.00459,385.2,0.304,0.0672
2020-01-01 11:00:00+00:00,2020-01-01 03:00:00-08:00,433.54,0.0346,0.00454,436.07,0.295,0.0684,370.31,0.0345,0.00453,372.84,0.292,0.0683
2020-01-01 12:00:00+00:00,2020-01-01 04:00:00-08:00,396.99,0.0352,0.00468,399.58,0.296,0.0818,334.4,0.0351,0.00467,336.99,0.293,0.0818
2020-01-01 13:00:00+00:00,2020-01-01 05:00:00-08:00,385.53,0.0335,0.00445,388.0,0.281,0.0754,324.95,0.0335,0.00444,327.41,0.278,0.0753
2020-01-01 14:00:00+00:00,2020-01-01 06:00:00-08:00,361.74,0.0321,0.00426,364.1,0.272,0.0738,302.81,0.032,0.00426,305.17,0.269,0.0738
2020-01-01 15:00:00+00:00,2020-01-01 07:00:00-08:00,342.79,0.0305,0.00405,345.04,0.262,0.0696,286.37,0.0304,0.00404,288.61,0.259,0.0696
2020-01-01 16:00:00+00:00,2020-01-01 08:00:00-08:00,342.89,0.0291,0.00383,345.02,0.249,0.0671,288.08,0.029,0.00383,290.2,0.247,0.0671
2020-01-01 17:00:00+00:00,2020-01-01 09:00:00-08:00,337.08,0.0296,0.00393,339.26,0.252,0.0729,283.58,0.0295,0.00393,285.75,0.249,0.0729
2020-01-01 18:00:00+00:00,2020-01-01 10:00:00-08:00,314.02,0.0291,0.00389,316.17,0.251,0.0779,260.7,0.029,0.00388,262.84,0.248,0.0779
2020-01-01 19:00:00+00:00,2020-01-01 11:00:00-08:00,311.84,0.0289,0.00386,313.98,0.255,0.0776,258.62,0.0289,0.00386,260.75,0.252,0.0775
2020-01-01 20:00:00+00:00,2020-01-01 12:00:00-08:00,307.79,0.0285,0.00379,309.89,0.252,0.0659,254.08,0.0284,0.00378,256.17,0.249,0.0659
2020-01-01 21:00:00+00:00,2020-01-01 13:00:00-08:00,309.59,0.0285,0.00378,311.69,0.253,0.0638,254.94,0.0284,0.00378,257.03,0.25,0.0638
2020-01-01 22:00:00+00:00,2020-01-01 14:00:00-08:00,322.68,0.0293,0.0039,324.84,0.258,0.0682,266.58,0.0293,0.00389,268.74,0.255,0.0682
2020-01-01 23:00:00+00:00,2020-01-01 15:00:00-08:00,319.12,0.0288,0.00381,321.23,0.248,0.0627,263.26,0.0287,0.0038,265.37,0.245,0.0627
2020-01-02 00:00:00+00:00,2020-01-01 16:00:00-08:00,318.21,0.0289,0.00384,320.33,0.248,0.0638,264.9,0.0288,0.00384,267.02,0.246,0.0637
2020-01-02 01:00:00+00:00,2020-01-01 17:00:00-08:00,338.85,0.0314,0.00421,341.17,0.288,0.0829,287.32,0.0313,0.0042,289.64,0.286,0.0829
2020-01-02 02:00:00+00:00,2020-01-01 18:00:00-08:00,344.09,0.0295,0.00392,346.26,0.28,0.0786,293.27,0.0295,0.00392,295.44,0.278,0.0785
2020-01-02 03:00:00+00:00,2020-01-01 19:00:00-08:00,341.13,0.0296,0.00394,343.31,0.268,0.0748,289.5,0.0295,0.00393,291.68,0.265,0.0748
2020-01-02 04:00:00+00:00,2020-01-01 20:00:00-08:00,336.79,0.03,0.004,339.0,0.273,0.076,284.53,0.03,0.004,286.74,0.27,0.0759
2020-01-02 05:00:00+00:00,2020-01-01 21:00:00-08:00,336.07,0.03,0.00398,338.27,0.277,0.0871,282.96,0.0299,0.00398,285.16,0.274,0.087
2020-01-02 06:00:00+00:00,2020-01-01 22:00:00-08:00,352.17,0.0314,0.00416,354.48,0.297,0.0853,296.12,0.0313,0.00416,298.42,0.294,0.0852
2020-01-02 07:00:00+00:00,2020-01-01 23:00:00-08:00,375.32,0.0327,0.00431,377.71,0.302,0.085,314.18,0.0326,0.0043,316.56,0.299,0.0849
2020-01-02 08:00:00+00:00,2020-01-02 00:00:00-08:00,371.59,0.034,0.00451,374.09,0.311,0.1052,307.72,0.0339,0.00451,310.21,0.308,0.1051
2020-01-02 09:00:00+00:00,2020-01-02 01:00:00-08:00,383.89,0.0344,0.00457,386.42,0.32,0.1058,320.94,0.0343,0.00456,323.46,0.317,0.1057
2020-01-02 10:00:00+00:00,2020-01-02 02:00:00-08:00,393.34,0.0358,0.00477,395.98,0.334,0.1099,329.78,0.0357,0.00477,332.42,0.33,0.1098
2020-01-02 11:00:00+00:00,2020-01-02 03:00:00-08:00,355.85,0.0326,0.00432,358.25,0.3,0.09,293.51,0.0326,0.00432,295.9,0.297,0.0899
2020-01-02 12:00:00+00:00,2020-01-02 04:00:00-08:00,350.67,0.0318,0.00422,353.01,0.285,0.0729,290.53,0.0317,0.00421,292.86,0.282,0.0728
2020-01-02 13:00:00+00:00,2020-01-02 05:00:00-08:00,357.08,0.0307,0.00407,359.34,0.276,0.0721,300.93,0.0307,0.00407,303.18,0.273,0.0721
2020-01-02 14:00:00+00:00,2020-01-02 06:00:00-08:00,327.01,0.0277,0.00367,329.05,0.239,0.0653,275.48,0.0276,0.00366,277.51,0.237,0.0652
2020-01-02 15:00:00+00:00,2020-01-02 07:00:00-08:00,340.29,0.0291,0.00389,342.44,0.249,0.0797,291.06,0.0291,0.00388,293.2,0.247,0.0796
2020-01-02 16:00:00+00:00,2020-01-02 08:00:00-08:00,365.57,0.0301,0.00401,367.79,0.256,0.0846,316.55,0.03,0.004,318.76,0.254,0.0846
2020-01-02 17:00:00+00:00,2020-01-02 09:00:00-08:00,352.91,0.0301,0.00402,355.13,0.262,0.088,304.58,0.03,0.00402,306.8,0.259,0.0879
2020-01-02 18:00:00+00:00,2020-01-02 10:00:00-08:00,361.9,0.0312,0.00418,364.2,0.273,0.0942,312.84,0.0311,0.00417,315.13,0.271,0.0942
2020-01-02 19:00:00+00:00,2020-01-02 11:00:00-08:00,423.25,0.0338,0.0045,425.74,0.308,0.0989,372.44,0.0337,0.00449,374.92,0.305,0.0989
2020-01-02 20:00:00+00:00,2020-01-02 12:00:00-08:00,448.21,0.0347,0.00461,450.77,0.318,0.0953,396.87,0.0347,0.00461,399.42,0.316,0.0952
2020-01-02 21:00:00+00:00,2020-01-02 13:00:00-08:00,464.05,0.0359,0.00478,466.7,0.332,0.1021,412.6,0.0358,0.00477,415.24,0.33,0.102
2020-01-02 22:00:00+00:00,2020-01-02 14:00:00-08:00,511.0,0.0391,0.00522,513.89,0.366,0.1106,458.84,0.039,0.00521,461.72,0.363,0.1105
2020-01-02 23:00:00+00:00,2020-01-02 15:00:00-08:00,528.09,0.04,0.00534,531.04,0.361,0.1136,475.2,0.0399,0.00533,478.15,0.359,0.1136
2020-01-03 00:00:00+00:00,2020-01-02 16:00:00-08:00,502.63,0.0377,0.00501,505.41,0.335,0.0988,449.82,0.0376,0.00501,452.59,0.332,0.0987
2020-01-03 01:00:00+00:00,2020-01-02 17:00:00-08:00,481.32,0.034,0.00449,483.81,0.296,0.0773,430.45,0.0339,0.00448,432.93,0.293,0.0773
2020-01-03 02:00:00+00:00,2020-01-02 18:00:00-08:00,485.44,0.0339,0.00446,487.93,0.293,0.0788,434.88,0.0338,0.00446,437.36,0.29,0.0787
2020-01-03 03:00:00+00:00,2020-01-02 19:00:00-08:00,471.14,0.033,0.00434,473.55,0.288,0.0723,420.68,0.0329,0.00433,423.09,0.285,0.0722
2020-01-03 04:00:00+00:00,2020-01-02 20:00:00-08:00,466.94,0.0342,0.00452,469.45,0.296,0.083,415.95,0.0341,0.00451,418.45,0.293,0.0829
2020-01-03 05:00:00+00:00,2020-01-02 21:00:00-08:00,470.36,0.0354,0.00469,472.96,0.315,0.0936,417.48,0.0353,0.00469,420.08,0.312,0.0936
2020-01-03 06:00:00+00:00,2020-01-02 22:00:00-08:00,528.68,0.0409,0.00545,531.69,0.379,0.1222,472.86,0.0408,0.00545,475.87,0.376,0.1222
2020-01-03 07:00:00+00:00,2020-01-02 23:00:00-08:00,542.58,0.045,0.00606,545.91,0.415,0.1415,483.04,0.0449,0.00605,486.37,0.412,0.1414
2020-01-03 08:00:00+00:00,2020-01-03 00:00:00-08:00,493.99,0.0419,0.00563,497.09,0.386,0.1307,433.9,0.0419,0.00563,437.0,0.383,0.1306
2020-01-03 09:00:00+00:00,2020-01-03 01:00:00-08:00,526.99,0.0413,0.00549,530.03,0.375,0.1194,465.58,0.0412,0.00549,468.62,0.372,0.1193
2020-01-03 10:00:00+00:00,2020-01-03 02:00:00-08:00,535.25,0.039,0.00512,538.1,0.348,0.1022,473.33,0.0389,0.00512,476.18,0.345,0.1022
2020-01-03 11:00:00+00:00,2020-01-03 03:00:00-08:00,512.26,0.0377,0.00495,515.02,0.338,0.0952,451.77,0.0376,0.00494,454.52,0.335,0.0952
2020-01-03 12:00:00+00:00,2020-01-03 04:00:00-08:00,485.3,0.0383,0.00508,488.11,0.345,0.1221,426.03,0.0382,0.00508,428.84,0.342,0.122
2020-01-03 13:00:00+00:00,2020-01-03 05:00:00-08:00,474.21,0.0368,0.00489,476.92,0.339,0.1167,419.29,0.0368,0.00489,421.99,0.337,0.1167
2020-01-03 14:00:00+00:00,2020-01-03 06:00:00-08:00,387.33,0.0315,0.00419,389.65,0.286,0.0992,336.53,0.0314,0.00418,338.84,0.283,0.0991
2020-01-03 15:00:00+00:00,2020-01-03 07:00:00-08:00,396.67,0.0325,0.00436,399.07,0.301,0.1079,348.01,0.0325,0.00435,350.41,0.299,0.1079
2020-01-03 16:00:00+00:00,2020-01-03 08:00:00-08:00,429.46,0.0368,0.00499,432.2,0.342,0.1424,380.53,0.0367,0.00498,383.26,0.34,0.1423
2020-01-03 17:00:00+00:00,2020-01-03 09:00:00-08:00,407.06,0.0347,0.0047,409.64,0.321,0.1173,358.52,0.0347,0.00469,361.09,0.318,0.1173
2020-01-03 18:00:00+00:00,2020-01-03 10:00:00-08:00,421.29,0.0342,0.0046,423.82,0.317,0.1095,372.35,0.0342,0.00459,374.88,0.315,0.1095
2020-01-03 19:00:00+00:00,2020-01-03 11:00:00-08:00,441.18,0.034,0.00453,443.69,0.314,0.1021,390.32,0.0339,0.00452,392.82,0.311,0.1021
2020-01-03 20:00:00+00:00,2020-01-03 12:00:00-08:00,436.68,0.033,0.00437,439.1,0.3,0.0949,384.83,0.0329,0.00437,387.25,0.298,0.0949
2020-01-03 21:00:00+00:00,2020-01-03 13:00:00-08:00,449.97,0.0336,0.00445,452.44,0.307,0.0919,396.86,0.0336,0.00444,399.33,0.304,0.0918
2020-01-03 22:00:00+00:00,2020-01-03 14:00:00-08:00,459.98,0.0334,0.0044,462.43,0.3,0.0869,405.61,0.0333,0.00439,408.05,0.297,0.0868
2020-01-03 23:00:00+00:00,2020-01-03 15:00:00-08:00,443.96,0.0317,0.00414,446.27,0.268,0.0791,389.02,0.0316,0.00414,391.33,0.266,0.079
2020-01-04 00:00:00+00:00,2020-01-03 16:00:00-08:00,418.0,0.0294,0.00384,420.14,0.247,0.0698,366.69,0.0293,0.00384,368.83,0.245,0.0697
2020-01-04 01:00:00+00:00,2020-01-03 17:00:00-08:00,399.79,0.0278,0.00363,401.81,0.238,0.0613,349.83,0.0278,0.00362,351.85,0.235,0.0613
2020-01-04 02:00:00+00:00,2020-01-03 18:00:00-08:00,403.49,0.0282,0.00366,405.54,0.242,0.0624,352.54,0.0281,0.00366,354.59,0.239,0.0624
2020-01-04 03:00:00+00:00,2020-01-03 19:00:00-08:00,410.33,0.0287,0.00372,412.42,0.246,0.0646,358.34,0.0286,0.00372,360.42,0.244,0.0646
2020-01-04 04:00:00+00:00,2020-01-03 20:00:00-08:00,415.32,0.0296,0.00385,417.47,0.263,0.0712,362.92,0.0295,0.00385,365.07,0.26,0.0711
2020-01-04 05:00:00+00:00,2020-01-03 21:00:00-08:00,381.11,0.0297,0.0039,383.28,0.265,0.0737,327.03,0.0296,0.00389,329.19,0.262,0.0737
2020-01-04 06:00:00+00:00,2020-01-03 22:00:00-08:00,429.27,0.0334,0.0044,431.72,0.301,0.0832,372.48,0.0333,0.00439,374.92,0.298,0.0831
2020-01-04 07:00:00+00:00,2020-01-03 23:00:00-08:00,412.79,0.0322,0.00421,415.14,0.292,0.075,354.34,0.0321,0.00421,356.68,0.289,0.075
2020-01-04 08:00:00+00:00,2020-01-04 00:00:00-08:00,366.57,0.0311,0.00409,368.85,0.276,0.0752,306.4,0.031,0.00408,308.67,0.273,0.0751
2020-01-04 09:00:00+00:00,2020-01-04 01:00:00-08:00,351.46,0.0301,0.00397,353.67,0.266,0.0713,292.31,0.0301,0.00396,294.51,0.263,0.0712
2020-01-04 10:00:00+00:00,2020-01-04 02:00:00-08:00,343.89,0.0293,0.00384,346.03,0.255,0.0665,284.81,0.0292,0.00384,286.94,0.252,0.0665
2020-01-04 11:00:00+00:00,2020-01-04 03:00:00-08:00,336.07,0.0283,0.0037,338.14,0.243,0.0586,277.24,0.0282,0.00369,279.3,0.24,0.0586
2020-01-04 12:00:00+00:00,2020-01-04 04:00:00-08:00,348.1,0.0282,0.00367,350.16,0.242,0.0604,289.55,0.0281,0.00367,291.6,0.239,0.0604
2020-01-04 13:00:00+00:00,2020-01-04 05:00:00-08:00,355.76,0.0282,0.00368,357.82,0.243,0.0641,299.09,0.0281,0.00367,301.14,0.24,0.064
2020-01-04 14:00:00+00:00,2020-01-04 06:00:00-08:00,321.75,0.027,0.00355,323.73,0.232,0.0675,267.22,0.027,0.00354,269.19,0.229,0.0675
2020-01-04 15:00:00+00:00,2020-01-04 07:00:00-08:00,321.85,0.0267,0.00352,323.81,0.229,0.07,270.17,0.0267,0.00352,272.12,0.227,0.0699
2020-01-04 16:00:00+00:00,2020-01-04 08:00:00-08:00,300.4,0.0257,0.00339,302.29,0.22,0.069,250.3,0.0256,0.00339,252.18,0.217,0.0689
2020-01-04 17:00:00+00:00,2020-01-04 09:00:00-08:00,295.07,0.0234,0.00304,296.76,0.199,0.0507,246.27,0.0233,0.00304,247.96,0.196,0.0507
2020-01-04 18:00:00+00:00,2020-01-04 10:00:00-08:00,317.54,0.0245,0.00318,319.32,0.205,0.0562,267.64,0.0244,0.00318,269.41,0.203,0.0562
2020-01-04 19:00:00+00:00,2020-01-04 11:00:00-08:00,323.42,0.0266,0.00349,325.36,0.23,0.0661,269.93,0.0266,0.00349,271.87,0.227,0.066
2020-01-04 20:00:00+00:00,2020-01-04 12:00:00-08:00,321.01,0.0277,0.00366,323.04,0.248,0.075,267.54,0.0276,0.00365,269.57,0.246,0.075
2020-01-04 21:00:00+00:00,2020-01-04 13:00:00-08:00,326.86,0.0282,0.00373,328.94,0.259,0.0762,273.02,0.0282,0.00373,275.09,0.256,0.0762
2020-01-04 22:00:00+00:00,2020-01-04 14:00:00-08:00,327.11,0.0287,0.00378,329.21,0.263,0.0728,271.01,0.0286,0.00378,273.11,0.26,0.0727
2020-01-04 23:00:00+00:00,2020-01-04 15:00:00-08:00,368.15,0.0278,0.00362,370.17,0.244,0.0627,313.79,0.0277,0.00361,315.8,0.241,0.0627
2020-01-05 00:00:00+00:00,2020-01-04 16:00:00-08:00,389.0,0.0284,0.00369,391.07,0.249,0.0671,335.95,0.0283,0.00369,338.01,0.246,0.0671
2020-01-05 01:00:00+00:00,2020-01-04 17:00:00-08:00,364.59,0.0288,0.00379,366.69,0.26,0.0772,313.2,0.0287,0.00379,315.3,0.257,0.0772
2020-01-05 02:00:00+00:00,2020-01-04 18:00:00-08:00,392.16,0.0313,0.00416,394.46,0.286,0.0889,340.19,0.0313,0.00415,342.49,0.284,0.0888
2020-01-05 03:00:00+00:00,2020-01-04 19:00:00-08:00,445.25,0.0342,0.00453,447.76,0.311,0.0937,392.52,0.0341,0.00452,395.03,0.309,0.0937
2020-01-05 04:00:00+00:00,2020-01-04 20:00:00-08:00,433.93,0.0339,0.00449,436.43,0.305,0.0964,380.67,0.0338,0.00449,383.16,0.302,0.0964
2020-01-05 05:00:00+00:00,2020-01-04 21:00:00-08:00,474.14,0.037,0.00492,476.86,0.34,0.1077,419.12,0.0369,0.00492,421.84,0.337,0.1077
2020-01-05 06:00:00+00:00,2020-01-04 22:00:00-08:00,533.23,0.0424,0.00567,536.36,0.396,0.1296,475.0,0.0423,0.00566,478.12,0.393,0.1296
2020-01-05 07:00:00+00:00,2020-01-04 23:00:00-08:00,554.92,0.0467,0.0063,558.38,0.438,0.1459,493.43,0.0466,0.00629,496.89,0.435,0.1459
2020-01-05 08:00:00+00:00,2020-01-05 00:00:00-08:00,593.03,0.0503,0.0068,596.77,0.474,0.1629,529.86,0.0502,0.00679,533.59,0.47,0.1628
2020-01-05 09:00:00+00:00,2020-01-05 01:00:00-08:00,669.2,0.0551,0.00747,673.3,0.518,0.1871,604.36,0.055,0.00746,608.45,0.514,0.187
2020-01-05 10:00:00+00:00,2020-01-05 02:00:00-08:00,650.96,0.0522,0.00703,654.83,0.493,0.1662,586.19,0.0521,0.00702,590.06,0.49,0.1661
2020-01-05 11:00:00+00:00,2020-01-05 03:00:00-08:00,634.57,0.0491,0.00657,638.2,0.463,0.15,570.24,0.049,0.00656,573.87,0.459,0.1499
2020-01-05 12:00:00+00:00,2020-01-05 04:00:00-08:00,623.32,0.048,0.00641,626.86,0.451,0.1414,560.44,0.0479,0.00641,563.98,0.448,0.1414
2020-01-05 13:00:00+00:00,2020-01-05 05:00:00-08:00,653.15,0.0505,0.00678,656.89,0.491,0.1589,591.9,0.0504,0.00677,595.63,0.487,0.1588
2020-01-05 14:00:00+00:00,2020-01-05 06:00:00-08:00,616.86,0.0454,0.00605,620.21,0.461,0.1388,559.03,0.0453,0.00605,562.37,0.458,0.1388
2020-01-05 15:00:00+00:00,2020-01-05 07:00:00-08:00,607.25,0.0455,0.00611,610.62,0.459,0.1459,552.72,0.0454,0.0061,556.08,0.456,0.1459
2020-01-05 16:00:00+00:00,2020-01-05 08:00:00-08:00,595.93,0.0451,0.00607,599.27,0.454,0.1506,543.67,0.0451,0.00607,547.01,0.451,0.1505
2020-01-05 17:00:00+00:00,2020-01-05 09:00:00-08:00,612.82,0.0466,0.00628,616.28,0.473,0.1536,561.78,0.0465,0.00628,565.23,0.47,0.1536
2020-01-05 18:00:00+00:00,2020-01-05 10:00:00-08:00,545.18,0.0403,0.00538,548.16,0.406,0.1253,493.95,0.0402,0.00538,496.92,0.403,0.1252
2020-01-05 19:00:00+00:00,2020-01-05 11:00:00-08:00,428.98,0.0339,0.00452,431.48,0.334,0.1027,376.82,0.0338,0.00451,379.32,0.331,0.1026
2020-01-05 20:00:00+00:00,2020-01-05 12:00:00-08:00,366.11,0.0298,0.00396,368.3,0.28,0.0827,313.52,0.0297,0.00395,315.71,0.277,0.0826
2020-01-05 21:00:00+00:00,2020-01-05 13:00:00-08:00,352.14,0.0279,0.00368,354.19,0.261,0.0706,300.11,0.0278,0.00367,302.15,0.259,0.0706
2020-01-05 22:00:00+00:00,2020-01-05 14:00:00-08:00,304.91,0.0254,0.00334,306.77,0.224,0.0554,253.16,0.0253,0.00333,255.01,0.221,0.0554
2020-01-05 23:00:00+00:00,2020-01-05 15:00:00-08:00,309.75,0.0252,0.0033,311.59,0.224,0.0566,258.78,0.0251,0.0033,260.62,0.222,0.0566
2020-01-06 00:00:00+00:00,2020-01-05 16:00:00-08:00,342.19,0.0276,0.00365,344.22,0.264,0.071,293.21,0.0275,0.00364,295.24,0.262,0.0709
2020-01-06 01:00:00+00:00,2020-01-05 17:00:00-08:00,365.76,0.0293,0.0039,367.92,0.292,0.1225,318.71,0.0293,0.00389,320.87,0.289,0.1225
2020-01-06 02:00:00+00:00,2020-01-05 18:00:00-08:00,364.9,0.0287,0.0038,367.01,0.287,0.0682,318.21,0.0286,0.00379,320.31,0.285,0.0682
2020-01-06 03:00:00+00:00,2020-01-05 19:00:00-08:00,409.93,0.033,0.00441,412.37,0.341,0.0941,362.17,0.0329,0.00441,364.6,0.339,0.0941
2020-01-06 04:00:00+00:00,2020-01-05 20:00:00-08:00,430.28,0.0344,0.0046,432.82,0.358,0.0999,381.23,0.0343,0.0046,383.76,0.356,0.0998
2020-01-06 05:00:00+00:00,2020-01-05 21:00:00-08:00,439.01,0.0364,0.00488,441.7,0.349,0.107,387.94,0.0363,0.00487,390.63,0.346,0.107
