datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,1130.96,0.101,0.0145,1138.72,0.435,0.205,1043.83,0.101,0.0144,1051.58,0.433,0.205
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,1106.68,0.102,0.0147,1114.53,0.446,0.211,1010.85,0.102,0.0147,1018.7,0.444,0.211
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,1099.68,0.102,0.0146,1107.49,0.441,0.213,1003.88,0.102,0.0146,1011.69,0.44,0.213
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,1099.83,0.101,0.0146,1107.63,0.439,0.207,1005.19,0.101,0.0146,1012.99,0.437,0.207
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,1087.19,0.1,0.0143,1094.85,0.431,0.208,993.49,0.1,0.0143,1001.15,0.429,0.208
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,1142.57,0.107,0.0154,1150.78,0.435,0.263,1051.45,0.107,0.0154,1059.65,0.433,0.263
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,1137.5,0.107,0.0155,1145.76,0.424,0.315,1051.42,0.107,0.0155,1059.68,0.422,0.315
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,1085.97,0.103,0.0148,1093.88,0.412,0.26,1005.32,0.103,0.0148,1013.23,0.411,0.26
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,1041.53,0.099,0.0143,1049.14,0.408,0.238,960.63,0.099,0.0143,968.24,0.406,0.237
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,1054.46,0.101,0.0146,1062.23,0.42,0.218,968.49,0.101,0.0145,976.26,0.418,0.218
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,1042.65,0.099,0.0142,1050.25,0.442,0.191,951.11,0.099,0.0142,958.7,0.44,0.191
