datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,1410.52,0.128,0.0183,1420.33,0.406,0.522,1407.89,0.128,0.0183,1417.7,0.404,0.522
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,1413.61,0.127,0.0181,1423.3,0.405,0.71,1410.91,0.126,0.0181,1420.6,0.404,0.71
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,1398.04,0.121,0.0172,1407.29,0.401,1.074,1394.78,0.121,0.0172,1404.03,0.399,1.074
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,1408.42,0.122,0.0173,1417.72,0.405,0.552,1404.92,0.122,0.0173,1414.23,0.403,0.552
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,1409.53,0.122,0.0174,1418.85,0.403,0.396,1405.92,0.122,0.0174,1415.24,0.401,0.396
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,1385.03,0.116,0.0164,1393.86,0.413,0.595,1381.17,0.116,0.0164,1390.01,0.412,0.595
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,1418.92,0.122,0.0174,1428.26,0.406,1.024,1415.02,0.122,0.0174,1424.36,0.404,1.024
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,1409.18,0.124,0.0177,1418.66,0.404,0.375,1405.35,0.124,0.0177,1414.83,0.402,0.375
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,1405.12,0.124,0.0177,1414.6,0.416,0.302,1401.13,0.124,0.0177,1410.61,0.414,0.302
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,1408.68,0.126,0.018,1418.31,0.418,0.344,1404.62,0.126,0.018,1414.24,0.417,0.344
