datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 06:00:00+00:00,2020-01-01 00:00:00-06:00,519.92,0.0601,0.00874,524.57,0.249,1.13,519.92,0.0601,0.00874,524.57,0.249,1.13
2020-01-01 07:00:00+00:00,2020-01-01 01:00:00-06:00,544.8,0.063,0.00917,549.67,0.266,1.18,544.8,0.063,0.00917,549.67,0.266,1.18
2020-01-01 08:00:00+00:00,2020-01-01 02:00:00-06:00,497.1,0.0574,0.00837,501.54,0.239,1.03,497.1,0.0574,0.00837,501.54,0.239,1.03
2020-01-01 09:00:00+00:00,2020-01-01 03:00:00-06:00,523.52,0.0605,0.0088,528.21,0.252,1.07,523.52,0.0605,0.0088,528.21,0.252,1.07
2020-01-01 10:00:00+00:00,2020-01-01 04:00:00-06:00,514.71,0.0595,0.00866,519.31,0.248,0.98,514.71,0.0595,0.00866,519.31,0.248,0.98
2020-01-01 11:00:00+00:00,2020-01-01 05:00:00-06:00,520.28,0.0601,0.00875,524.93,0.245,0.97,520.28,0.0601,0.00875,524.93,0.245,0.97
2020-01-01 12:00:00+00:00,2020-01-01 06:00:00-06:00,495.3,0.0572,0.00833,499.73,0.236,1.0,495.3,0.0572,0.00833,499.73,0.236,1.0
2020-01-01 13:00:00+00:00,2020-01-01 07:00:00-06:00,493.1,0.057,0.0083,497.51,0.237,0.96,493.1,0.057,0.0083,497.51,0.237,0.96
2020-01-01 14:00:00+00:00,2020-01-01 08:00:00-06:00,428.69,0.0495,0.00721,432.52,0.201,0.78,428.69,0.0495,0.00721,432.52,0.201,0.78
2020-01-01 15:00:00+00:00,2020-01-01 09:00:00-06:00,427.55,0.0494,0.0072,431.37,0.2,0.78,427.55,0.0494,0.0072,431.37,0.2,0.78
2020-01-01 16:00:00+00:00,2020-01-01 10:00:00-06:00,392.24,0.0453,0.0066,395.75,0.182,0.72,392.24,0.0453,0.0066,395.75,0.182,0.72
2020-01-01 17:00:00+00:00,2020-01-01 11:00:00-06:00,392.89,0.0454,0.00661,396.41,0.182,0.71,392.89,0.0454,0.00661,396.41,0.182,0.71
2020-01-01 18:00:00+00:00,2020-01-01 12:00:00-06:00,381.2,0.0441,0.00641,384.61,0.175,0.67,381.2,0.0441,0.00641,384.61,0.175,0.67
2020-01-01 19:00:00+00:00,2020-01-01 13:00:00-06:00,398.91,0.0461,0.0067,402.48,0.181,0.7,398.91,0.0461,0.0067,402.48,0.181,0.7
2020-01-01 20:00:00+00:00,2020-01-01 14:00:00-06:00,401.41,0.0464,0.00675,405.0,0.184,0.71,401.41,0.0464,0.00675,405.0,0.184,0.71
2020-01-01 21:00:00+00:00,2020-01-01 15:00:00-06:00,399.48,0.0462,0.00672,403.05,0.193,0.77,399.48,0.0462,0.00672,403.05,0.193,0.77
2020-01-01 22:00:00+00:00,2020-01-01 16:00:00-06:00,399.11,0.0461,0.00672,402.68,0.189,0.76,399.11,0.0461,0.00672,402.68,0.189,0.76
2020-01-01 23:00:00+00:00,2020-01-01 17:00:00-06:00,399.03,0.0461,0.00672,402.6,0.185,0.71,399.03,0.0461,0.00672,402.6,0.185,0.71
2020-01-02 00:00:00+00:00,2020-01-01 18:00:00-06:00,416.94,0.0482,0.00701,420.67,0.199,0.75,416.94,0.0482,0.00701,420.67,0.199,0.75
2020-01-02 01:00:00+00:00,2020-01-01 19:00:00-06:00,410.17,0.0474,0.0069,413.84,0.194,0.73,410.17,0.0474,0.0069,413.84,0.194,0.73
2020-01-02 02:00:00+00:00,2020-01-01 20:00:00-06:00,475.19,0.0549,0.008,479.44,0.218,0.8,475.19,0.0549,0.008,479.44,0.218,0.8
2020-01-02 03:00:00+00:00,2020-01-01 21:00:00-06:00,478.91,0.0553,0.00806,483.19,0.222,0.8,478.91,0.0553,0.00806,483.19,0.222,0.8
2020-01-02 04:00:00+00:00,2020-01-01 22:00:00-06:00,500.55,0.0579,0.00843,505.03,0.232,0.85,500.55,0.0579,0.00843,505.03,0.232,0.85
2020-01-02 05:00:00+00:00,2020-01-01 23:00:00-06:00,508.55,0.0588,0.00856,513.1,0.236,0.87,508.55,0.0588,0.00856,513.1,0.236,0.87
2020-01-02 06:00:00+00:00,2020-01-02 00:00:00-06:00,526.46,0.0608,0.00886,531.17,0.242,0.89,526.46,0.0608,0.00886,531.17,0.242,0.89
2020-01-02 07:00:00+00:00,2020-01-02 01:00:00-06:00,533.95,0.0617,0.00898,538.72,0.248,0.9,533.95,0.0617,0.00898,538.72,0.248,0.9
2020-01-02 08:00:00+00:00,2020-01-02 02:00:00-06:00,553.19,0.0639,0.00931,558.14,0.257,0.93,553.19,0.0639,0.00931,558.14,0.257,0.93
2020-01-02 09:00:00+00:00,2020-01-02 03:00:00-06:00,552.3,0.0638,0.0093,557.23,0.256,0.92,552.3,0.0638,0.0093,557.23,0.256,0.92
2020-01-02 10:00:00+00:00,2020-01-02 04:00:00-06:00,547.87,0.0633,0.00922,552.77,0.254,0.93,547.87,0.0633,0.00922,552.77,0.254,0.93
2020-01-02 11:00:00+00:00,2020-01-02 05:00:00-06:00,548.9,0.0634,0.00923,553.8,0.26,0.94,548.9,0.0634,0.00923,553.8,0.26,0.94
2020-01-02 12:00:00+00:00,2020-01-02 06:00:00-06:00,512.71,0.0593,0.00863,517.3,0.242,0.88,512.71,0.0593,0.00863,517.3,0.242,0.88
2020-01-02 13:00:00+00:00,2020-01-02 07:00:00-06:00,463.31,0.0535,0.0078,467.45,0.219,0.8,463.31,0.0535,0.0078,467.45,0.219,0.8
2020-01-02 14:00:00+00:00,2020-01-02 08:00:00-06:00,469.53,0.0543,0.0079,473.73,0.217,0.81,469.53,0.0543,0.0079,473.73,0.217,0.81
2020-01-02 15:00:00+00:00,2020-01-02 09:00:00-06:00,491.53,0.0568,0.00827,495.93,0.23,0.86,491.53,0.0568,0.00827,495.93,0.23,0.86
2020-01-02 16:00:00+00:00,2020-01-02 10:00:00-06:00,554.06,0.064,0.00932,559.02,0.256,0.96,554.06,0.064,0.00932,559.02,0.256,0.96
2020-01-02 17:00:00+00:00,2020-01-02 11:00:00-06:00,555.19,0.0642,0.00934,560.15,0.257,0.96,555.19,0.0642,0.00934,560.15,0.257,0.96
2020-01-02 18:00:00+00:00,2020-01-02 12:00:00-06:00,650.35,0.0752,0.01093,656.16,0.307,1.13,650.35,0.0752,0.01093,656.16,0.307,1.13
2020-01-02 19:00:00+00:00,2020-01-02 13:00:00-06:00,618.82,0.0715,0.01041,624.35,0.301,1.09,618.82,0.0715,0.01041,624.35,0.301,1.09
2020-01-02 20:00:00+00:00,2020-01-02 14:00:00-06:00,615.48,0.0711,0.01036,620.99,0.302,1.08,615.48,0.0711,0.01036,620.99,0.302,1.08
2020-01-02 21:00:00+00:00,2020-01-02 15:00:00-06:00,613.47,0.0709,0.01032,618.96,0.301,1.08,613.47,0.0709,0.01032,618.96,0.301,1.08
2020-01-02 22:00:00+00:00,2020-01-02 16:00:00-06:00,584.45,0.0676,0.00983,589.68,0.287,1.03,584.45,0.0676,0.00983,589.68,0.287,1.03
2020-01-02 23:00:00+00:00,2020-01-02 17:00:00-06:00,446.75,0.0516,0.00752,450.74,0.209,0.78,446.75,0.0516,0.00752,450.74,0.209,0.78
2020-01-03 00:00:00+00:00,2020-01-02 18:00:00-06:00,437.75,0.0506,0.00737,441.66,0.201,0.76,437.75,0.0506,0.00737,441.66,0.201,0.76
2020-01-03 01:00:00+00:00,2020-01-02 19:00:00-06:00,455.86,0.0527,0.00767,459.94,0.213,0.8,455.86,0.0527,0.00767,459.94,0.213,0.8
2020-01-03 02:00:00+00:00,2020-01-02 20:00:00-06:00,464.19,0.0537,0.00781,468.34,0.22,0.81,464.19,0.0537,0.00781,468.34,0.22,0.81
2020-01-03 03:00:00+00:00,2020-01-02 21:00:00-06:00,524.53,0.0606,0.00882,529.22,0.251,0.92,524.53,0.0606,0.00882,529.22,0.251,0.92
2020-01-03 04:00:00+00:00,2020-01-02 22:00:00-06:00,530.07,0.0613,0.00891,534.81,0.251,0.93,530.07,0.0613,0.00891,534.81,0.251,0.93
2020-01-03 05:00:00+00:00,2020-01-02 23:00:00-06:00,526.04,0.0608,0.00885,530.75,0.256,0.93,526.04,0.0608,0.00885,530.75,0.256,0.93
