datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 06:00:00+00:00,2020-01-01 00:00:00-06:00,729.61,0.0639,0.0092,734.53,0.522,0.548,721.27,0.0639,0.0092,726.2,0.522,0.548
2020-01-01 07:00:00+00:00,2020-01-01 01:00:00-06:00,727.94,0.0644,0.0093,732.9,0.542,0.549,719.27,0.0643,0.0093,724.23,0.541,0.549
2020-01-01 08:00:00+00:00,2020-01-01 02:00:00-06:00,577.94,0.0523,0.0076,581.98,0.416,0.465,570.4,0.0523,0.0076,574.44,0.415,0.465
2020-01-01 09:00:00+00:00,2020-01-01 03:00:00-06:00,582.57,0.0525,0.0076,586.62,0.415,0.465,575.03,0.0525,0.0076,579.08,0.415,0.465
2020-01-01 10:00:00+00:00,2020-01-01 04:00:00-06:00,586.63,0.053,0.0077,590.72,0.414,0.458,579.12,0.053,0.0077,583.21,0.414,0.458
2020-01-01 11:00:00+00:00,2020-01-01 05:00:00-06:00,594.93,0.054,0.0078,599.1,0.417,0.46,587.55,0.0539,0.0078,591.71,0.416,0.46
2020-01-01 12:00:00+00:00,2020-01-01 06:00:00-06:00,603.6,0.0548,0.0079,607.83,0.431,0.459,596.35,0.0548,0.0079,600.58,0.43,0.459
2020-01-01 13:00:00+00:00,2020-01-01 07:00:00-06:00,622.87,0.0573,0.0083,627.3,0.464,0.463,615.73,0.0573,0.0083,620.15,0.463,0.463
2020-01-01 14:00:00+00:00,2020-01-01 08:00:00-06:00,621.41,0.057,0.0083,625.81,0.447,0.475,614.13,0.057,0.0083,618.53,0.447,0.475
2020-01-01 15:00:00+00:00,2020-01-01 09:00:00-06:00,619.06,0.0564,0.0082,623.41,0.448,0.485,611.76,0.0564,0.0082,616.11,0.448,0.485
2020-01-01 16:00:00+00:00,2020-01-01 10:00:00-06:00,628.56,0.0588,0.0085,633.11,0.457,0.546,621.24,0.0588,0.0085,625.78,0.456,0.546
2020-01-01 17:00:00+00:00,2020-01-01 11:00:00-06:00,626.41,0.0592,0.0086,630.99,0.448,0.533,618.88,0.0592,0.0086,623.46,0.448,0.533
2020-01-01 18:00:00+00:00,2020-01-01 12:00:00-06:00,608.44,0.0572,0.0083,612.86,0.444,0.474,600.83,0.0572,0.0083,605.25,0.443,0.474
2020-01-01 19:00:00+00:00,2020-01-01 13:00:00-06:00,589.15,0.0548,0.008,593.39,0.411,0.466,581.4,0.0548,0.0079,585.63,0.41,0.466
2020-01-01 20:00:00+00:00,2020-01-01 14:00:00-06:00,627.13,0.0588,0.0085,631.67,0.46,0.504,619.36,0.0588,0.0085,623.9,0.46,0.504
2020-01-01 21:00:00+00:00,2020-01-01 15:00:00-06:00,620.78,0.0582,0.0084,625.27,0.455,0.458,612.92,0.0581,0.0084,617.42,0.454,0.458
2020-01-01 22:00:00+00:00,2020-01-01 16:00:00-06:00,664.79,0.0631,0.0092,669.66,0.481,0.557,657.14,0.0631,0.0092,662.02,0.48,0.557
2020-01-01 23:00:00+00:00,2020-01-01 17:00:00-06:00,691.46,0.0654,0.0095,696.51,0.495,0.638,684.16,0.0654,0.0095,689.21,0.494,0.638
2020-01-02 00:00:00+00:00,2020-01-01 18:00:00-06:00,716.92,0.0679,0.0098,722.16,0.508,0.673,709.72,0.0679,0.0098,714.96,0.507,0.673
2020-01-02 01:00:00+00:00,2020-01-01 19:00:00-06:00,758.55,0.0715,0.0104,764.07,0.538,0.697,751.31,0.0715,0.0104,756.83,0.537,0.697
2020-01-02 02:00:00+00:00,2020-01-01 20:00:00-06:00,785.87,0.0737,0.0107,791.56,0.553,0.712,778.52,0.0737,0.0107,784.2,0.553,0.712
2020-01-02 03:00:00+00:00,2020-01-01 21:00:00-06:00,801.37,0.0749,0.0108,807.14,0.578,0.723,793.78,0.0749,0.0108,799.56,0.577,0.723
2020-01-02 04:00:00+00:00,2020-01-01 22:00:00-06:00,822.71,0.0765,0.0111,828.61,0.588,0.717,814.89,0.0765,0.0111,820.79,0.588,0.717
2020-01-02 05:00:00+00:00,2020-01-01 23:00:00-06:00,812.85,0.0747,0.0108,818.61,0.576,0.686,804.77,0.0747,0.0108,810.53,0.576,0.686
2020-01-02 06:00:00+00:00,2020-01-02 00:00:00-06:00,823.79,0.0749,0.0108,829.57,0.58,0.708,815.64,0.0749,0.0108,821.41,0.579,0.708
2020-01-02 07:00:00+00:00,2020-01-02 01:00:00-06:00,851.28,0.0773,0.0112,857.24,0.602,0.768,843.05,0.0773,0.0112,849.01,0.601,0.768
2020-01-02 08:00:00+00:00,2020-01-02 02:00:00-06:00,904.91,0.082,0.0118,911.23,0.635,0.77,896.53,0.082,0.0118,902.85,0.634,0.77
2020-01-02 09:00:00+00:00,2020-01-02 03:00:00-06:00,897.73,0.0812,0.0117,903.99,0.625,0.798,889.38,0.0812,0.0117,895.63,0.624,0.798
2020-01-02 10:00:00+00:00,2020-01-02 04:00:00-06:00,930.98,0.0825,0.0119,937.32,0.664,0.805,922.75,0.0825,0.0119,929.09,0.663,0.805
2020-01-02 11:00:00+00:00,2020-01-02 05:00:00-06:00,957.27,0.0838,0.0121,963.71,0.657,0.826,949.45,0.0837,0.012,955.89,0.656,0.826
2020-01-02 12:00:00+00:00,2020-01-02 06:00:00-06:00,953.89,0.0825,0.0119,960.22,0.642,0.826,946.53,0.0825,0.0118,952.86,0.642,0.826
2020-01-02 13:00:00+00:00,2020-01-02 07:00:00-06:00,929.29,0.0807,0.0116,935.5,0.631,0.79,922.33,0.0807,0.0116,928.53,0.631,0.79
2020-01-02 14:00:00+00:00,2020-01-02 08:00:00-06:00,952.16,0.0824,0.0118,958.49,0.64,0.822,945.32,0.0824,0.0118,951.65,0.64,0.822
2020-01-02 15:00:00+00:00,2020-01-02 09:00:00-06:00,999.08,0.0855,0.0123,1005.64,0.678,0.874,992.18,0.0855,0.0123,998.74,0.677,0.874
2020-01-02 16:00:00+00:00,2020-01-02 10:00:00-06:00,1053.51,0.0896,0.0128,1060.38,0.731,0.899,1046.53,0.0896,0.0128,1053.4,0.731,0.899
2020-01-02 17:00:00+00:00,2020-01-02 11:00:00-06:00,1067.79,0.0911,0.0131,1074.78,0.736,0.876,1060.7,0.091,0.0131,1067.69,0.735,0.876
2020-01-02 18:00:00+00:00,2020-01-02 12:00:00-06:00,1034.06,0.0882,0.0126,1040.82,0.709,0.815,1026.92,0.0881,0.0126,1033.69,0.708,0.815
2020-01-02 19:00:00+00:00,2020-01-02 13:00:00-06:00,975.58,0.0831,0.0119,981.96,0.658,0.767,968.41,0.083,0.0119,974.79,0.657,0.767
2020-01-02 20:00:00+00:00,2020-01-02 14:00:00-06:00,943.55,0.0805,0.0116,949.73,0.641,0.784,936.33,0.0805,0.0116,942.51,0.641,0.784
2020-01-02 21:00:00+00:00,2020-01-02 15:00:00-06:00,939.96,0.0804,0.0115,946.13,0.638,0.811,932.74,0.0804,0.0115,938.92,0.637,0.811
