datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,898.61,0.0206,0.00226,899.98,0.315,0.0196,897.01,0.0206,0.00226,898.39,0.315,0.0196
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,887.84,0.0212,0.00242,889.29,0.319,0.0218,881.04,0.0212,0.00242,882.49,0.319,0.0218
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,887.65,0.0217,0.00249,889.13,0.311,0.0228,880.59,0.0217,0.00248,882.07,0.31,0.0228
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,889.37,0.0235,0.0028,891.01,0.363,0.0277,879.96,0.0235,0.0028,881.6,0.363,0.0277
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,882.49,0.0234,0.00278,884.11,0.36,0.0273,873.05,0.0234,0.00278,874.68,0.359,0.0273
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,875.1,0.0232,0.00275,876.71,0.354,0.0273,865.69,0.0232,0.00275,867.31,0.353,0.0273
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,853.82,0.0227,0.00271,855.4,0.337,0.0282,843.91,0.0227,0.00271,845.49,0.337,0.0282
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,844.06,0.0227,0.00272,845.65,0.332,0.0294,833.75,0.0227,0.00272,835.34,0.331,0.0294
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,834.58,0.0228,0.00275,836.18,0.328,0.03,823.85,0.0228,0.00275,825.44,0.327,0.03
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,823.12,0.0227,0.00276,824.71,0.329,0.0302,812.01,0.0227,0.00276,813.6,0.328,0.0302
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,819.65,0.0227,0.00275,821.24,0.329,0.0307,808.34,0.0227,0.00275,809.93,0.329,0.0307
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,825.82,0.0225,0.00271,827.4,0.336,0.0296,814.87,0.0225,0.00271,816.44,0.336,0.0296
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,830.3,0.0223,0.00266,831.86,0.345,0.0284,819.79,0.0223,0.00266,821.34,0.344,0.0284
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,841.13,0.0227,0.00269,842.71,0.356,0.0291,830.29,0.0227,0.00269,831.87,0.355,0.0291
2020-01-01 19:00:00+00:00,2020-01-01 14:00:00-05:00,848.67,0.0225,0.0027,850.25,0.365,0.0283,838.2,0.0225,0.0027,839.77,0.364,0.0283
2020-01-01 20:00:00+00:00,2020-01-01 15:00:00-05:00,866.51,0.0227,0.00269,868.09,0.37,0.0277,856.33,0.0227,0.00269,857.91,0.369,0.0277
2020-01-01 21:00:00+00:00,2020-01-01 16:00:00-05:00,883.71,0.0234,0.00281,885.35,0.369,0.0292,872.91,0.0234,0.0028,874.54,0.369,0.0292
2020-01-01 22:00:00+00:00,2020-01-01 17:00:00-05:00,874.3,0.023,0.00272,875.9,0.359,0.0281,864.01,0.023,0.00272,865.61,0.359,0.0281
