datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 08:00:00+00:00,2020-01-01 00:00:00-08:00,602.6,0.0342,0.00471,605.17,0.408,0.1864,586.19,0.034,0.00469,588.74,0.403,0.1863
2020-01-01 09:00:00+00:00,2020-01-01 01:00:00-08:00,618.67,0.033,0.00451,621.14,0.402,0.1677,601.81,0.0328,0.00449,604.26,0.396,0.1676
2020-01-01 10:00:00+00:00,2020-01-01 02:00:00-08:00,622.53,0.0345,0.00474,625.12,0.42,0.1805,605.83,0.0343,0.00472,608.4,0.415,0.1805
2020-01-01 11:00:00+00:00,2020-01-01 03:00:00-08:00,624.01,0.0344,0.00472,626.58,0.413,0.1778,607.57,0.0342,0.0047,610.13,0.408,0.1777
2020-01-01 12:00:00+00:00,2020-01-01 04:00:00-08:00,626.53,0.0346,0.00475,629.13,0.405,0.1827,609.81,0.0344,0.00473,612.39,0.4,0.1827
2020-01-01 13:00:00+00:00,2020-01-01 05:00:00-08:00,619.23,0.0311,0.00421,621.54,0.373,0.154,603.59,0.0309,0.00419,605.89,0.367,0.1539
2020-01-01 14:00:00+00:00,2020-01-01 06:00:00-08:00,593.54,0.0283,0.00381,595.64,0.358,0.1406,578.1,0.0282,0.00379,580.18,0.352,0.1405
2020-01-01 15:00:00+00:00,2020-01-01 07:00:00-08:00,592.92,0.0264,0.0035,594.86,0.336,0.1243,578.02,0.0262,0.00349,579.95,0.331,0.1242
2020-01-01 16:00:00+00:00,2020-01-01 08:00:00-08:00,597.4,0.0253,0.0033,599.24,0.367,0.111,577.45,0.0251,0.00328,579.28,0.361,0.1109
2020-01-01 17:00:00+00:00,2020-01-01 09:00:00-08:00,637.01,0.0233,0.00289,638.67,0.386,0.0677,611.81,0.0231,0.00287,613.45,0.378,0.0676
2020-01-01 18:00:00+00:00,2020-01-01 10:00:00-08:00,632.09,0.0226,0.00278,633.68,0.383,0.0612,605.43,0.0223,0.00276,607.01,0.375,0.0611
2020-01-01 19:00:00+00:00,2020-01-01 11:00:00-08:00,644.58,0.0212,0.00255,646.06,0.385,0.0438,616.48,0.021,0.00253,617.95,0.377,0.0437
2020-01-01 20:00:00+00:00,2020-01-01 12:00:00-08:00,645.02,0.0215,0.00256,646.51,0.398,0.0328,612.75,0.0213,0.00253,614.23,0.39,0.0327
2020-01-01 21:00:00+00:00,2020-01-01 13:00:00-08:00,664.03,0.0223,0.00266,665.58,0.412,0.0333,630.23,0.022,0.00263,631.76,0.403,0.0332
2020-01-01 22:00:00+00:00,2020-01-01 14:00:00-08:00,658.78,0.0222,0.00266,660.32,0.394,0.0431,628.2,0.0219,0.00263,629.73,0.386,0.043
