datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,998.57,0.0668,0.00863,1003.42,0.534,0.098,921.03,0.0668,0.00863,925.87,0.533,0.098
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,1005.14,0.0687,0.00889,1010.12,0.535,0.114,924.53,0.0686,0.00889,929.51,0.534,0.114
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,1009.3,0.0697,0.00903,1014.36,0.547,0.142,925.61,0.0697,0.00902,930.67,0.546,0.142
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,1024.5,0.0717,0.00931,1029.71,0.557,0.116,941.48,0.0716,0.0093,946.69,0.555,0.116
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,1025.54,0.0719,0.00934,1030.77,0.56,0.108,942.29,0.0719,0.00933,947.51,0.558,0.108
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,1025.15,0.0711,0.00924,1030.32,0.556,0.137,944.61,0.071,0.00923,949.78,0.554,0.137
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,1008.41,0.0689,0.00896,1013.42,0.544,0.161,931.78,0.0689,0.00896,936.79,0.543,0.161
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,979.67,0.065,0.00845,984.4,0.5,0.095,908.72,0.065,0.00845,913.45,0.499,0.095
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,954.5,0.0614,0.00796,958.96,0.491,0.085,887.6,0.0614,0.00795,892.06,0.489,0.085
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,932.56,0.0596,0.00773,936.89,0.477,0.081,868.33,0.0596,0.00772,872.66,0.476,0.081
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,938.44,0.0611,0.00796,942.89,0.478,0.125,875.09,0.0611,0.00795,879.53,0.477,0.125
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,934.14,0.061,0.00794,938.58,0.482,0.106,870.56,0.061,0.00793,875.0,0.48,0.106
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,922.67,0.0607,0.0079,927.09,0.469,0.081,859.0,0.0607,0.0079,863.42,0.468,0.081
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,937.98,0.0621,0.00808,942.5,0.478,0.084,872.48,0.0621,0.00808,877.0,0.477,0.084
2020-01-01 19:00:00+00:00,2020-01-01 14:00:00-05:00,941.52,0.0625,0.00813,946.07,0.483,0.1,875.63,0.0625,0.00813,880.18,0.481,0.1
2020-01-01 20:00:00+00:00,2020-01-01 15:00:00-05:00,945.67,0.0627,0.00816,950.24,0.484,0.166,879.68,0.0627,0.00816,884.25,0.482,0.166
2020-01-01 21:00:00+00:00,2020-01-01 16:00:00-05:00,954.61,0.0624,0.00811,959.15,0.489,0.103,889.45,0.0623,0.00811,893.99,0.487,0.103
2020-01-01 22:00:00+00:00,2020-01-01 17:00:00-05:00,973.0,0.0618,0.00803,977.5,0.496,0.088,909.32,0.0618,0.00802,913.82,0.494,0.088
2020-01-01 23:00:00+00:00,2020-01-01 18:00:00-05:00,975.6,0.0595,0.0077,979.91,0.534,0.146,915.98,0.0594,0.0077,920.29,0.533,0.146
2020-01-02 00:00:00+00:00,2020-01-01 19:00:00-05:00,968.45,0.0601,0.00779,972.82,0.528,0.105,907.57,0.0601,0.00779,911.94,0.527,0.105
2020-01-02 01:00:00+00:00,2020-01-01 20:00:00-05:00,963.22,0.0611,0.00793,967.65,0.485,0.115,900.11,0.061,0.00792,904.54,0.484,0.115
2020-01-02 02:00:00+00:00,2020-01-01 21:00:00-05:00,971.51,0.0628,0.00815,976.07,0.495,0.11,905.2,0.0627,0.00814,909.76,0.494,0.11
2020-01-02 03:00:00+00:00,2020-01-01 22:00:00-05:00,963.27,0.0635,0.00824,967.89,0.508,0.108,892.14,0.0635,0.00823,896.75,0.506,0.108
2020-01-02 04:00:00+00:00,2020-01-01 23:00:00-05:00,1002.35,0.0672,0.00869,1007.22,0.551,0.092,924.11,0.0671,0.00868,928.98,0.549,0.092
2020-01-02 05:00:00+00:00,2020-01-02 00:00:00-05:00,1019.6,0.0704,0.00912,1024.71,0.564,0.103,935.89,0.0703,0.00911,941.0,0.563,0.103
2020-01-02 06:00:00+00:00,2020-01-02 01:00:00-05:00,1032.01,0.0722,0.00937,1037.26,0.582,0.107,945.23,0.0722,0.00936,950.48,0.58,0.107
2020-01-02 07:00:00+00:00,2020-01-02 02:00:00-05:00,1026.63,0.0716,0.00928,1031.83,0.596,0.099,939.53,0.0715,0.00927,944.72,0.594,0.099
2020-01-02 08:00:00+00:00,2020-01-02 03:00:00-05:00,1025.65,0.0715,0.00927,1030.85,0.596,0.097,938.83,0.0715,0.00927,944.03,0.594,0.097
2020-01-02 09:00:00+00:00,2020-01-02 04:00:00-05:00,1011.15,0.0701,0.00909,1016.24,0.575,0.151,926.3,0.0701,0.00908,931.39,0.573,0.151
2020-01-02 10:00:00+00:00,2020-01-02 05:00:00-05:00,997.8,0.0676,0.00875,1002.71,0.55,0.097,918.53,0.0675,0.00875,923.44,0.548,0.097
2020-01-02 11:00:00+00:00,2020-01-02 06:00:00-05:00,966.1,0.0628,0.00813,970.66,0.493,0.107,895.95,0.0627,0.00813,900.51,0.491,0.107
2020-01-02 12:00:00+00:00,2020-01-02 07:00:00-05:00,970.43,0.0608,0.00786,974.85,0.514,0.124,906.08,0.0607,0.00786,910.48,0.513,0.124
2020-01-02 13:00:00+00:00,2020-01-02 08:00:00-05:00,956.37,0.0593,0.00768,960.67,0.505,0.117,894.47,0.0593,0.00767,898.78,0.504,0.117
