datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,588.82,0.0407,0.00515,591.74,0.242,0.0609,545.43,0.0406,0.00514,548.34,0.24,0.0608
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,580.42,0.0417,0.00528,583.41,0.252,0.0668,534.85,0.0416,0.00528,537.84,0.25,0.0668
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,571.16,0.0423,0.00536,574.2,0.258,0.0747,523.79,0.0422,0.00536,526.83,0.255,0.0747
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,565.63,0.0438,0.00558,568.79,0.267,0.0685,516.6,0.0437,0.00558,519.75,0.264,0.0684
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,564.66,0.0443,0.00565,567.85,0.271,0.0649,514.86,0.0442,0.00564,518.05,0.268,0.0649
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,584.1,0.0437,0.00555,587.24,0.288,0.0685,535.28,0.0436,0.00554,538.42,0.285,0.0685
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,604.92,0.0435,0.00551,608.04,0.288,0.0793,557.43,0.0434,0.0055,560.55,0.286,0.0793
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,606.68,0.0432,0.00548,609.78,0.271,0.0625,560.45,0.0431,0.00547,563.55,0.269,0.0624
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,598.69,0.0402,0.00508,601.57,0.255,0.0544,556.04,0.0402,0.00507,558.92,0.253,0.0544
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,590.52,0.0386,0.00486,593.28,0.236,0.0536,550.84,0.0385,0.00486,553.59,0.233,0.0536
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,583.36,0.0375,0.00474,586.04,0.224,0.0673,545.87,0.0375,0.00473,548.55,0.222,0.0672
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,576.83,0.0366,0.00462,579.45,0.213,0.0597,540.52,0.0366,0.00461,543.14,0.211,0.0596
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,574.96,0.036,0.00454,577.54,0.208,0.0494,539.37,0.036,0.00453,541.94,0.206,0.0494
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,575.42,0.0357,0.00449,577.97,0.206,0.0492,540.35,0.0356,0.00448,542.89,0.204,0.0492
