datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,2364.68,0.586,0.0781,2407.89,2.05,0.622,923.43,0.586,0.0781,966.64,2.05,0.622
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,2450.64,0.616,0.0821,2496.04,2.11,0.563,932.43,0.616,0.0821,977.82,2.11,0.563
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,2441.93,0.612,0.0817,2487.08,2.13,0.646,936.89,0.612,0.0817,982.04,2.13,0.646
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,2417.98,0.604,0.0806,2462.54,2.14,0.569,941.05,0.604,0.0806,985.62,2.14,0.569
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,2384.62,0.598,0.0797,2428.68,2.1,0.601,919.17,0.598,0.0797,963.23,2.1,0.601
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,2380.95,0.596,0.0794,2424.85,2.04,0.608,913.95,0.596,0.0794,957.85,2.04,0.608
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,2387.65,0.6,0.08,2431.9,2.01,0.619,898.93,0.6,0.08,943.18,2.01,0.619
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,2276.25,0.564,0.0752,2317.85,1.94,0.457,883.15,0.564,0.0752,924.75,1.94,0.457
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,2224.73,0.546,0.0727,2264.97,1.86,0.546,881.59,0.546,0.0727,921.84,1.86,0.546
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,2253.42,0.557,0.0742,2294.47,1.86,0.448,880.94,0.557,0.0742,921.98,1.86,0.448
