datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,1101.48,0.0362,0.00604,1104.51,0.629,0.317,1025.03,0.0361,0.00602,1028.06,0.625,0.317
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,1161.4,0.037,0.00609,1164.47,0.74,0.452,1089.2,0.0369,0.00607,1092.26,0.736,0.452
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,1170.26,0.0374,0.00622,1173.39,0.708,0.523,1099.54,0.0373,0.00621,1102.66,0.705,0.523
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,1176.13,0.0377,0.00627,1179.28,0.701,0.47,1105.67,0.0376,0.00625,1108.82,0.697,0.47
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,1178.86,0.0378,0.00625,1182.01,0.707,0.482,1108.9,0.0377,0.00624,1112.04,0.703,0.482
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,1191.98,0.0378,0.00622,1195.11,0.848,0.482,1123.33,0.0377,0.0062,1126.46,0.844,0.482
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,1221.44,0.0381,0.0062,1224.58,1.02,0.417,1154.24,0.038,0.00619,1157.38,1.016,0.417
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,1174.56,0.0382,0.00616,1177.69,0.957,0.544,1108.15,0.0381,0.00614,1111.27,0.953,0.544
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,1161.77,0.0376,0.00605,1164.85,0.918,0.364,1096.67,0.0375,0.00604,1099.74,0.915,0.364
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,1180.54,0.0372,0.00598,1183.59,1.004,0.393,1116.44,0.0371,0.00596,1119.48,1.001,0.393
