datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,1119.42,0.1,0.0143,1127.07,0.449,0.214,1032.18,0.1,0.0143,1039.83,0.447,0.214
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,1068.92,0.101,0.0145,1076.68,0.46,0.22,973.12,0.101,0.0145,980.88,0.458,0.22
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,1058.47,0.1,0.0144,1066.19,0.456,0.223,962.66,0.1,0.0144,970.37,0.454,0.223
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,1056.12,0.1,0.0144,1063.83,0.452,0.216,961.48,0.1,0.0144,969.19,0.45,0.216
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,1044.22,0.099,0.0142,1051.79,0.444,0.217,950.53,0.099,0.0142,958.1,0.442,0.217
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,1100.84,0.106,0.0152,1108.96,0.448,0.271,1009.7,0.106,0.0152,1017.82,0.446,0.271
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,1103.77,0.106,0.0153,1111.95,0.436,0.323,1017.65,0.106,0.0153,1025.83,0.434,0.323
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,1059.37,0.102,0.0147,1067.21,0.429,0.273,978.63,0.102,0.0147,986.47,0.427,0.273
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,1017.31,0.098,0.0141,1024.86,0.424,0.25,936.32,0.098,0.0141,943.87,0.422,0.25
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,1028.56,0.1,0.0144,1036.27,0.437,0.23,942.52,0.1,0.0144,950.23,0.435,0.23
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,1015.17,0.098,0.0141,1022.7,0.453,0.197,923.65,0.098,0.0141,931.17,0.451,0.197
