datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 08:00:00+00:00,2020-01-01 00:00:00-08:00,382.21,0.03731,0.00542,385.1,0.352,0.2426,368.77,0.03726,0.00542,371.66,0.351,0.2426
2020-01-01 09:00:00+00:00,2020-01-01 01:00:00-08:00,388.0,0.03764,0.00547,390.91,0.352,0.2343,373.77,0.03759,0.00546,376.68,0.35,0.2343
2020-01-01 10:00:00+00:00,2020-01-01 02:00:00-08:00,372.82,0.03571,0.00518,375.58,0.355,0.2239,359.67,0.03567,0.00518,362.42,0.353,0.2239
2020-01-01 11:00:00+00:00,2020-01-01 03:00:00-08:00,372.07,0.0352,0.0051,374.79,0.351,0.2182,359.09,0.03516,0.0051,361.8,0.35,0.2182
2020-01-01 12:00:00+00:00,2020-01-01 04:00:00-08:00,388.5,0.03647,0.00529,391.32,0.344,0.2304,375.13,0.03643,0.00528,377.94,0.343,0.2304
2020-01-01 13:00:00+00:00,2020-01-01 05:00:00-08:00,363.93,0.03345,0.00484,366.51,0.324,0.2076,351.06,0.03341,0.00484,353.64,0.323,0.2075
2020-01-01 14:00:00+00:00,2020-01-01 06:00:00-08:00,249.64,0.02261,0.00327,251.39,0.231,0.1448,240.05,0.02258,0.00327,241.79,0.23,0.1448
2020-01-01 15:00:00+00:00,2020-01-01 07:00:00-08:00,229.44,0.02063,0.00298,231.03,0.218,0.1327,220.37,0.0206,0.00298,221.96,0.217,0.1327
2020-01-01 16:00:00+00:00,2020-01-01 08:00:00-08:00,206.29,0.01833,0.00265,207.7,0.198,0.1269,197.54,0.01831,0.00265,198.95,0.197,0.1269
2020-01-01 17:00:00+00:00,2020-01-01 09:00:00-08:00,210.84,0.01882,0.00272,212.29,0.197,0.1233,202.29,0.01879,0.00272,203.74,0.196,0.1232
2020-01-01 18:00:00+00:00,2020-01-01 10:00:00-08:00,198.0,0.01749,0.00253,199.35,0.189,0.1213,189.79,0.01746,0.00253,191.14,0.188,0.1212
2020-01-01 19:00:00+00:00,2020-01-01 11:00:00-08:00,189.29,0.0165,0.00238,190.56,0.18,0.117,181.06,0.01647,0.00238,182.33,0.179,0.117
2020-01-01 20:00:00+00:00,2020-01-01 12:00:00-08:00,190.38,0.01647,0.00238,191.65,0.18,0.1058,181.92,0.01645,0.00238,183.19,0.179,0.1058
2020-01-01 21:00:00+00:00,2020-01-01 13:00:00-08:00,202.86,0.01743,0.00252,204.21,0.191,0.1112,193.76,0.0174,0.00251,195.1,0.19,0.1111
2020-01-01 22:00:00+00:00,2020-01-01 14:00:00-08:00,209.87,0.01816,0.00262,211.27,0.196,0.1205,200.72,0.01813,0.00262,202.12,0.195,0.1205
2020-01-01 23:00:00+00:00,2020-01-01 15:00:00-08:00,191.73,0.01654,0.00239,193.0,0.18,0.106,183.31,0.01651,0.00238,184.58,0.179,0.106
2020-01-02 00:00:00+00:00,2020-01-01 16:00:00-08:00,173.11,0.01516,0.00219,174.28,0.162,0.0888,165.94,0.01513,0.00219,167.11,0.161,0.0888
2020-01-02 01:00:00+00:00,2020-01-01 17:00:00-08:00,168.41,0.01485,0.00214,169.55,0.165,0.092,161.62,0.01482,0.00214,162.76,0.164,0.0919
2020-01-02 02:00:00+00:00,2020-01-01 18:00:00-08:00,145.21,0.01201,0.00173,146.13,0.157,0.0939,138.48,0.01199,0.00173,139.4,0.156,0.0939
2020-01-02 03:00:00+00:00,2020-01-01 19:00:00-08:00,158.93,0.01365,0.00197,159.98,0.15,0.0952,152.03,0.01362,0.00197,153.08,0.15,0.0951
2020-01-02 04:00:00+00:00,2020-01-01 20:00:00-08:00,176.6,0.01516,0.00219,177.77,0.164,0.1061,168.91,0.01514,0.00219,170.07,0.164,0.1061
2020-01-02 05:00:00+00:00,2020-01-01 21:00:00-08:00,184.06,0.01568,0.00226,185.27,0.174,0.1474,175.88,0.01565,0.00226,177.09,0.173,0.1474
2020-01-02 06:00:00+00:00,2020-01-01 22:00:00-08:00,235.86,0.02033,0.00293,237.43,0.221,0.1887,225.76,0.0203,0.00293,227.32,0.22,0.1887
2020-01-02 07:00:00+00:00,2020-01-01 23:00:00-08:00,269.02,0.02367,0.00342,270.84,0.251,0.2146,257.59,0.02364,0.00342,259.42,0.249,0.2146
2020-01-02 08:00:00+00:00,2020-01-02 00:00:00-08:00,281.5,0.02436,0.00352,283.38,0.267,0.2283,269.01,0.02432,0.00352,270.89,0.266,0.2283
2020-01-02 09:00:00+00:00,2020-01-02 01:00:00-08:00,274.23,0.02326,0.00336,276.02,0.264,0.2247,261.72,0.02322,0.00335,263.51,0.262,0.2247
2020-01-02 10:00:00+00:00,2020-01-02 02:00:00-08:00,302.36,0.02612,0.00377,304.37,0.288,0.2483,288.71,0.02607,0.00377,290.72,0.286,0.2483
2020-01-02 11:00:00+00:00,2020-01-02 03:00:00-08:00,285.97,0.02452,0.00354,287.86,0.272,0.2304,272.26,0.02447,0.00354,274.15,0.271,0.2304
2020-01-02 12:00:00+00:00,2020-01-02 04:00:00-08:00,302.4,0.02686,0.00388,304.48,0.282,0.1821,289.51,0.02682,0.00388,291.58,0.281,0.1821
2020-01-02 13:00:00+00:00,2020-01-02 05:00:00-08:00,289.74,0.02574,0.00372,291.72,0.269,0.1703,277.89,0.0257,0.00372,279.87,0.268,0.1702
2020-01-02 14:00:00+00:00,2020-01-02 06:00:00-08:00,210.56,0.0179,0.00258,211.94,0.197,0.1163,201.25,0.01786,0.00258,202.62,0.196,0.1163
2020-01-02 15:00:00+00:00,2020-01-02 07:00:00-08:00,221.89,0.01907,0.00275,223.36,0.189,0.1255,212.91,0.01904,0.00274,214.38,0.188,0.1255
2020-01-02 16:00:00+00:00,2020-01-02 08:00:00-08:00,204.05,0.0174,0.00251,205.39,0.168,0.1167,195.72,0.01738,0.0025,197.06,0.167,0.1167
2020-01-02 17:00:00+00:00,2020-01-02 09:00:00-08:00,200.8,0.01741,0.00251,202.14,0.166,0.1202,192.78,0.01738,0.00251,194.12,0.165,0.1202
2020-01-02 18:00:00+00:00,2020-01-02 10:00:00-08:00,199.9,0.01769,0.00255,201.26,0.17,0.1204,192.26,0.01767,0.00255,193.62,0.169,0.1204
2020-01-02 19:00:00+00:00,2020-01-02 11:00:00-08:00,209.7,0.01915,0.00277,211.18,0.191,0.1289,202.23,0.01913,0.00277,203.71,0.19,0.1289
2020-01-02 20:00:00+00:00,2020-01-02 12:00:00-08:00,190.87,0.01745,0.00252,192.22,0.176,0.1131,184.01,0.01743,0.00252,185.35,0.176,0.1131
2020-01-02 21:00:00+00:00,2020-01-02 13:00:00-08:00,200.54,0.01842,0.00266,201.96,0.186,0.1223,193.58,0.0184,0.00266,195.0,0.185,0.1223
2020-01-02 22:00:00+00:00,2020-01-02 14:00:00-08:00,220.03,0.02038,0.00295,221.61,0.202,0.1265,212.53,0.02036,0.00295,214.1,0.201,0.1265
2020-01-02 23:00:00+00:00,2020-01-02 15:00:00-08:00,206.51,0.01861,0.00269,207.94,0.188,0.1102,199.33,0.01859,0.00268,200.76,0.187,0.1102
2020-01-03 00:00:00+00:00,2020-01-02 16:00:00-08:00,178.9,0.01513,0.00217,180.07,0.164,0.0801,172.52,0.01511,0.00217,173.68,0.163,0.0801
2020-01-03 01:00:00+00:00,2020-01-02 17:00:00-08:00,167.26,0.01375,0.00197,168.31,0.153,0.068,161.19,0.01373,0.00197,162.25,0.153,0.068
2020-01-03 02:00:00+00:00,2020-01-02 18:00:00-08:00,171.93,0.0142,0.00203,173.02,0.157,0.0728,165.73,0.01418,0.00203,166.82,0.157,0.0728
2020-01-03 03:00:00+00:00,2020-01-02 19:00:00-08:00,179.28,0.01486,0.00213,180.42,0.167,0.0741,172.76,0.01484,0.00213,173.89,0.166,0.0741
2020-01-03 04:00:00+00:00,2020-01-02 20:00:00-08:00,191.08,0.01593,0.00229,192.31,0.159,0.0868,183.75,0.01591,0.00228,184.97,0.158,0.0868
2020-01-03 05:00:00+00:00,2020-01-02 21:00:00-08:00,205.63,0.0173,0.00249,206.96,0.179,0.1046,197.59,0.01727,0.00248,198.92,0.178,0.1046
2020-01-03 06:00:00+00:00,2020-01-02 22:00:00-08:00,226.53,0.01957,0.00282,228.04,0.214,0.1301,217.37,0.01954,0.00282,218.87,0.213,0.1301
2020-01-03 07:00:00+00:00,2020-01-02 23:00:00-08:00,226.88,0.01973,0.00285,228.4,0.202,0.1349,217.37,0.01969,0.00284,218.88,0.201,0.1349
2020-01-03 08:00:00+00:00,2020-01-03 00:00:00-08:00,311.94,0.02731,0.00394,314.04,0.265,0.2072,299.26,0.02726,0.00394,301.36,0.264,0.2072
2020-01-03 09:00:00+00:00,2020-01-03 01:00:00-08:00,330.9,0.0289,0.00417,333.12,0.276,0.2136,317.41,0.02885,0.00417,319.64,0.274,0.2136
2020-01-03 10:00:00+00:00,2020-01-03 02:00:00-08:00,326.98,0.02853,0.00412,329.18,0.278,0.2168,313.4,0.02848,0.00412,315.59,0.276,0.2168
2020-01-03 11:00:00+00:00,2020-01-03 03:00:00-08:00,323.53,0.02805,0.00405,325.69,0.276,0.212,310.01,0.02801,0.00405,312.17,0.275,0.212
2020-01-03 12:00:00+00:00,2020-01-03 04:00:00-08:00,297.76,0.02562,0.0037,299.73,0.257,0.2338,285.0,0.02558,0.00369,286.97,0.255,0.2338
2020-01-03 13:00:00+00:00,2020-01-03 05:00:00-08:00,274.13,0.02334,0.00337,275.93,0.233,0.2092,262.21,0.0233,0.00336,264.01,0.231,0.2092
2020-01-03 14:00:00+00:00,2020-01-03 06:00:00-08:00,185.86,0.01506,0.00216,187.01,0.163,0.1251,177.3,0.01503,0.00216,178.46,0.162,0.1251
2020-01-03 15:00:00+00:00,2020-01-03 07:00:00-08:00,173.21,0.01409,0.00202,174.29,0.152,0.1137,165.47,0.01407,0.00202,166.55,0.151,0.1137
2020-01-03 16:00:00+00:00,2020-01-03 08:00:00-08:00,187.92,0.01596,0.0023,189.15,0.164,0.1324,179.75,0.01594,0.0023,180.98,0.163,0.1324
2020-01-03 17:00:00+00:00,2020-01-03 09:00:00-08:00,211.79,0.01791,0.00258,213.17,0.178,0.123,202.52,0.01788,0.00258,203.9,0.177,0.123
2020-01-03 18:00:00+00:00,2020-01-03 10:00:00-08:00,231.27,0.01955,0.00282,232.78,0.192,0.1371,221.14,0.01952,0.00282,222.64,0.191,0.1371
2020-01-03 19:00:00+00:00,2020-01-03 11:00:00-08:00,215.31,0.01849,0.00267,216.74,0.188,0.1289,205.74,0.01846,0.00267,207.16,0.187,0.1289
2020-01-03 20:00:00+00:00,2020-01-03 12:00:00-08:00,206.21,0.01761,0.00254,207.57,0.18,0.1259,196.93,0.01757,0.00254,198.29,0.179,0.1259
2020-01-03 21:00:00+00:00,2020-01-03 13:00:00-08:00,210.08,0.01793,0.00259,211.46,0.184,0.1231,200.57,0.0179,0.00258,201.95,0.183,0.1231
2020-01-03 22:00:00+00:00,2020-01-03 14:00:00-08:00,210.88,0.01795,0.00259,212.27,0.184,0.123,201.23,0.01792,0.00259,202.61,0.183,0.123
2020-01-03 23:00:00+00:00,2020-01-03 15:00:00-08:00,186.93,0.01589,0.00229,188.16,0.168,0.1094,178.36,0.01586,0.00229,179.59,0.167,0.1094
2020-01-04 00:00:00+00:00,2020-01-03 16:00:00-08:00,169.22,0.01375,0.00197,170.28,0.15,0.0895,161.39,0.01373,0.00197,162.44,0.15,0.0894
2020-01-04 01:00:00+00:00,2020-01-03 17:00:00-08:00,145.81,0.01149,0.00164,146.69,0.135,0.0728,138.77,0.01146,0.00164,139.65,0.134,0.0728
2020-01-04 02:00:00+00:00,2020-01-03 18:00:00-08:00,149.43,0.01178,0.00169,150.33,0.137,0.0767,142.18,0.01175,0.00168,143.09,0.136,0.0767
2020-01-04 03:00:00+00:00,2020-01-03 19:00:00-08:00,153.87,0.01223,0.00175,154.81,0.142,0.082,146.34,0.0122,0.00175,147.28,0.141,0.082
2020-01-04 04:00:00+00:00,2020-01-03 20:00:00-08:00,166.33,0.01341,0.00192,167.36,0.152,0.0972,158.29,0.01338,0.00192,159.32,0.151,0.0971
2020-01-04 05:00:00+00:00,2020-01-03 21:00:00-08:00,171.65,0.0141,0.00203,172.74,0.156,0.1025,163.34,0.01407,0.00203,164.42,0.155,0.1025
2020-01-04 06:00:00+00:00,2020-01-03 22:00:00-08:00,231.62,0.01889,0.00272,233.08,0.206,0.1391,220.73,0.01885,0.00271,222.18,0.205,0.1391
2020-01-04 07:00:00+00:00,2020-01-03 23:00:00-08:00,227.98,0.01875,0.0027,229.43,0.205,0.1372,217.06,0.01872,0.0027,218.5,0.204,0.1371
2020-01-04 08:00:00+00:00,2020-01-04 00:00:00-08:00,232.28,0.01914,0.00276,233.75,0.205,0.1426,220.79,0.0191,0.00275,222.26,0.204,0.1425
2020-01-04 09:00:00+00:00,2020-01-04 01:00:00-08:00,261.75,0.02152,0.0031,263.41,0.227,0.1576,248.86,0.02148,0.0031,250.51,0.225,0.1575
2020-01-04 10:00:00+00:00,2020-01-04 02:00:00-08:00,254.85,0.02106,0.00304,256.48,0.219,0.1586,241.94,0.02101,0.00303,243.55,0.218,0.1585
2020-01-04 11:00:00+00:00,2020-01-04 03:00:00-08:00,232.08,0.01873,0.0027,233.53,0.198,0.1362,219.5,0.01868,0.00269,220.94,0.196,0.1361
