datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 06:00:00+00:00,2020-01-01 00:00:00-06:00,728.89,0.0639,0.0092,733.8,0.523,0.548,720.56,0.0638,0.0092,725.48,0.522,0.547
2020-01-01 07:00:00+00:00,2020-01-01 01:00:00-06:00,726.98,0.0643,0.0093,731.93,0.542,0.548,718.32,0.0643,0.0093,723.27,0.541,0.548
2020-01-01 08:00:00+00:00,2020-01-01 02:00:00-06:00,578.06,0.0523,0.0076,582.1,0.416,0.465,570.52,0.0523,0.0076,574.55,0.416,0.465
2020-01-01 09:00:00+00:00,2020-01-01 03:00:00-06:00,582.68,0.0525,0.0076,586.74,0.416,0.466,575.14,0.0525,0.0076,579.19,0.415,0.466
2020-01-01 10:00:00+00:00,2020-01-01 04:00:00-06:00,586.78,0.053,0.0077,590.87,0.415,0.458,579.26,0.053,0.0077,583.36,0.415,0.458
2020-01-01 11:00:00+00:00,2020-01-01 05:00:00-06:00,595.08,0.054,0.0078,599.25,0.417,0.46,587.7,0.054,0.0078,591.87,0.417,0.46
2020-01-01 12:00:00+00:00,2020-01-01 06:00:00-06:00,603.81,0.0549,0.0079,608.04,0.431,0.459,596.56,0.0548,0.0079,600.79,0.431,0.459
2020-01-01 13:00:00+00:00,2020-01-01 07:00:00-06:00,623.09,0.0574,0.0083,627.52,0.464,0.464,615.94,0.0574,0.0083,620.37,0.464,0.464
2020-01-01 14:00:00+00:00,2020-01-01 08:00:00-06:00,621.65,0.057,0.0083,626.05,0.448,0.475,614.36,0.057,0.0083,618.76,0.447,0.475
2020-01-01 15:00:00+00:00,2020-01-01 09:00:00-06:00,619.31,0.0564,0.0082,623.67,0.449,0.486,612.01,0.0564,0.0082,616.36,0.448,0.486
