datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2020-01-01 05:00:00+00:00,2020-01-01 00:00:00-05:00,888.23,0.0206,0.00226,889.61,0.315,0.0196,886.63,0.0206,0.00226,888.01,0.315,0.0196
2020-01-01 06:00:00+00:00,2020-01-01 01:00:00-05:00,864.11,0.0212,0.00242,865.56,0.319,0.0218,857.39,0.0212,0.00242,858.84,0.319,0.0218
2020-01-01 07:00:00+00:00,2020-01-01 02:00:00-05:00,860.17,0.0217,0.00249,861.65,0.311,0.0228,853.2,0.0217,0.00249,854.68,0.311,0.0228
2020-01-01 08:00:00+00:00,2020-01-01 03:00:00-05:00,851.71,0.0235,0.0028,853.35,0.363,0.0277,842.42,0.0235,0.0028,844.05,0.363,0.0277
2020-01-01 09:00:00+00:00,2020-01-01 04:00:00-05:00,844.65,0.0234,0.00278,846.27,0.359,0.0273,835.32,0.0234,0.00278,836.95,0.359,0.0273
2020-01-01 10:00:00+00:00,2020-01-01 05:00:00-05:00,838.21,0.0232,0.00275,839.82,0.353,0.0273,828.91,0.0232,0.00275,830.52,0.353,0.0273
2020-01-01 11:00:00+00:00,2020-01-01 06:00:00-05:00,820.18,0.0227,0.00272,821.76,0.337,0.0283,810.37,0.0227,0.00271,811.94,0.337,0.0282
2020-01-01 12:00:00+00:00,2020-01-01 07:00:00-05:00,810.73,0.0228,0.00273,812.32,0.332,0.0294,800.51,0.0227,0.00273,802.1,0.331,0.0294
2020-01-01 13:00:00+00:00,2020-01-01 08:00:00-05:00,801.0,0.0228,0.00275,802.6,0.328,0.0301,790.35,0.0228,0.00275,791.95,0.328,0.0301
2020-01-01 14:00:00+00:00,2020-01-01 09:00:00-05:00,789.01,0.0228,0.00276,790.61,0.329,0.0303,778.02,0.0228,0.00276,779.62,0.329,0.0303
2020-01-01 15:00:00+00:00,2020-01-01 10:00:00-05:00,786.53,0.0227,0.00275,788.13,0.329,0.0308,775.35,0.0227,0.00275,776.95,0.329,0.0308
2020-01-01 16:00:00+00:00,2020-01-01 11:00:00-05:00,794.45,0.0225,0.00271,796.03,0.336,0.0297,783.63,0.0225,0.00271,785.2,0.336,0.0297
2020-01-01 17:00:00+00:00,2020-01-01 12:00:00-05:00,800.33,0.0223,0.00266,801.88,0.345,0.0285,789.93,0.0223,0.00266,791.48,0.345,0.0285
2020-01-01 18:00:00+00:00,2020-01-01 13:00:00-05:00,809.88,0.0227,0.0027,811.46,0.356,0.0291,799.16,0.0227,0.00269,800.75,0.355,0.0291
2020-01-01 19:00:00+00:00,2020-01-01 14:00:00-05:00,818.49,0.0226,0.0027,820.06,0.364,0.0284,808.14,0.0226,0.0027,809.71,0.364,0.0283
2020-01-01 20:00:00+00:00,2020-01-01 15:00:00-05:00,836.83,0.0227,0.0027,838.41,0.37,0.0277,826.77,0.0227,0.00269,828.35,0.369,0.0277
2020-01-01 21:00:00+00:00,2020-01-01 16:00:00-05:00,851.74,0.0235,0.00281,853.37,0.369,0.0292,841.06,0.0235,0.00281,842.7,0.369,0.0292
2020-01-01 22:00:00+00:00,2020-01-01 17:00:00-05:00,842.57,0.023,0.00272,844.17,0.359,0.0281,832.4,0.023,0.00272,834.0,0.359,0.0281
2020-01-01 23:00:00+00:00,2020-01-01 18:00:00-05:00,825.57,0.0228,0.00272,827.15,0.343,0.0283,815.31,0.0228,0.00272,816.89,0.343,0.0283
2020-01-02 00:00:00+00:00,2020-01-01 19:00:00-05:00,825.98,0.0229,0.00273,827.58,0.344,0.0283,815.71,0.0229,0.00273,817.31,0.344,0.0283
2020-01-02 01:00:00+00:00,2020-01-01 20:00:00-05:00,829.21,0.0228,0.00272,830.8,0.348,0.0284,819.03,0.0228,0.00272,820.61,0.348,0.0284
2020-01-02 02:00:00+00:00,2020-01-01 21:00:00-05:00,843.54,0.0228,0.00272,845.12,0.358,0.0284,833.58,0.0228,0.00272,835.16,0.358,0.0284
2020-01-02 03:00:00+00:00,2020-01-01 22:00:00-05:00,853.04,0.023,0.00271,854.64,0.369,0.0283,842.82,0.023,0.00271,844.42,0.369,0.0283
2020-01-02 04:00:00+00:00,2020-01-01 23:00:00-05:00,872.96,0.0225,0.00259,874.5,0.38,0.026,863.63,0.0224,0.00259,865.18,0.379,0.026
2020-01-02 05:00:00+00:00,2020-01-02 00:00:00-05:00,885.28,0.0228,0.00269,886.85,0.391,0.0264,875.58,0.0228,0.00269,877.15,0.391,0.0264
2020-01-02 06:00:00+00:00,2020-01-02 01:00:00-05:00,898.23,0.0226,0.00262,899.79,0.403,0.026,888.72,0.0226,0.00262,890.28,0.403,0.026
2020-01-02 07:00:00+00:00,2020-01-02 02:00:00-05:00,898.9,0.0234,0.00273,900.51,0.405,0.0283,888.49,0.0234,0.00273,890.11,0.405,0.0283
2020-01-02 08:00:00+00:00,2020-01-02 03:00:00-05:00,901.5,0.023,0.00268,903.08,0.408,0.0273,891.46,0.023,0.00268,893.04,0.408,0.0273
2020-01-02 09:00:00+00:00,2020-01-02 04:00:00-05:00,894.94,0.0231,0.00272,896.54,0.406,0.0282,884.51,0.0231,0.00272,886.1,0.406,0.0282
2020-01-02 10:00:00+00:00,2020-01-02 05:00:00-05:00,878.24,0.0227,0.00266,879.81,0.391,0.0275,868.12,0.0227,0.00266,869.68,0.391,0.0275
2020-01-02 11:00:00+00:00,2020-01-02 06:00:00-05:00,849.58,0.023,0.00272,851.18,0.372,0.0283,839.13,0.023,0.00272,840.72,0.372,0.0283
2020-01-02 12:00:00+00:00,2020-01-02 07:00:00-05:00,827.73,0.0231,0.00275,829.34,0.357,0.028,817.62,0.0231,0.00275,819.23,0.357,0.028
2020-01-02 13:00:00+00:00,2020-01-02 08:00:00-05:00,824.42,0.0226,0.00268,825.99,0.353,0.0259,815.01,0.0226,0.00268,816.58,0.353,0.0259
2020-01-02 14:00:00+00:00,2020-01-02 09:00:00-05:00,804.7,0.0222,0.00262,806.24,0.355,0.0249,795.94,0.0222,0.00262,797.48,0.355,0.0249
2020-01-02 15:00:00+00:00,2020-01-02 10:00:00-05:00,772.66,0.0219,0.00262,774.18,0.362,0.0248,763.67,0.0219,0.00262,765.2,0.362,0.0248
2020-01-02 16:00:00+00:00,2020-01-02 11:00:00-05:00,749.47,0.0201,0.00237,750.86,0.338,0.0205,742.15,0.0201,0.00237,743.54,0.338,0.0205
2020-01-02 17:00:00+00:00,2020-01-02 12:00:00-05:00,767.14,0.0208,0.00244,768.58,0.344,0.0209,759.66,0.0208,0.00244,761.1,0.344,0.0209
