datetime_utc,datetime_local,consumed_co2_rate_lb_per_mwh_for_electricity,consumed_ch4_rate_lb_per_mwh_for_electricity,consumed_n2o_rate_lb_per_mwh_for_electricity,consumed_co2e_rate_lb_per_mwh_for_electricity,consumed_nox_rate_lb_per_mwh_for_electricity,consumed_so2_rate_lb_per_mwh_for_electricity,consumed_co2_rate_lb_per_mwh_for_electricity_adjusted,consumed_ch4_rate_lb_per_mwh_for_electricity_adjusted,consumed_n2o_rate_lb_per_mwh_for_electricity_adjusted,consumed_co2e_rate_lb_per_mwh_for_electricity_adjusted,consumed_nox_rate_lb_per_mwh_for_electricity_adjusted,consumed_so2_rate_lb_per_mwh_for_electricity_adjusted
2021-01-01 05:00:00+00:00,2021-01-01 00:00:00-05:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-01-01 06:00:00+00:00,2021-01-01 01:00:00-05:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-01-01 07:00:00+00:00,2021-01-01 02:00:00-05:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-01-01 08:00:00+00:00,2021-01-01 03:00:00-05:00,385.69,0.0233,0.00321,387.21,0.246,0.035,374.36,0.0232,0.0032,375.88,0.243,0.035
2021-01-01 09:00:00+00:00,2021-01-01 04:00:00-05:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-01-01 10:00:00+00:00,2021-01-01 05:00:00-05:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-01-01 11:00:00+00:00,2021-01-01 06:00:00-05:00,364.0,0.0213,0.00292,365.39,0.233,0.03,353.79,0.0211,0.00291,355.17,0.23,0.03
2021-01-01 12:00:00+00:00,2021-01-01 07:00:00-05:00,342.57,0.02,0.00275,343.88,0.229,0.028,333.02,0.0199,0.00274,334.32,0.226,0.028
2021-01-01 13:00:00+00:00,2021-01-01 08:00:00-05:00,341.92,0.0193,0.00263,343.17,0.195,0.027,332.9,0.0192,0.00262,334.15,0.192,0.027
2021-01-01 14:00:00+00:00,2021-01-01 09:00:00-05:00,312.49,0.0172,0.00233,313.61,0.175,0.024,304.69,0.0171,0.00233,305.8,0.172,0.024
2021-01-01 15:00:00+00:00,2021-01-01 10:00:00-05:00,336.35,0.018,0.00244,337.52,0.175,0.027,328.15,0.0179,0.00243,329.32,0.172,0.027
2021-01-01 16:00:00+00:00,2021-01-01 11:00:00-05:00,333.26,0.0168,0.00226,334.34,0.167,0.025,325.7,0.0167,0.00225,326.78,0.165,0.025
